     h    k    l     FRexp    sFRexp    FRmod_ext   FRmod
    0    0    8    0.6454    0.0133   0.5641   0.3434
    2    0    6    1.7568    0.0454   1.4045   1.7997
    0    2    6    1.6797    0.0371   1.3435   1.6688
    2    0   10    0.9051    0.0232   0.9262   0.8704
    0    2   10    0.9243    0.0179   0.9353   0.8858
    4   -4    0    0.7186    0.0103   0.5093   0.2814
    6   -6    0    0.4468    0.0112   0.4984   0.2858
    1   -1    1    0.5570    0.0101   0.4174   0.2046
   -1    1    1    0.4705    0.0101   0.4195   0.2048
    1    1    1    0.5367    0.0109   0.4725   0.3337
   -1    1   -1    0.5601    0.0100   0.4174   0.2046
    3   -1    1    1.2662    0.0112   1.2911   1.3730
    1   -1    3    0.5464    0.0105   0.4972   0.2800
   -1    1    3    0.5484    0.0106   0.4953   0.2796
   -1    3    1    1.1461    0.0110   1.1989   1.2488
    1   -1    5    0.2854    0.0105   0.2442   0.1139
   -1    1    5    0.2665    0.0106   0.2460   0.1144
    1    1    5    0.8275    0.0127   0.7958   0.6482
    1   -1    7    0.3576    0.0215   0.2732   0.1351
   -1    1    7    0.3058    0.0131   0.2720   0.1347
    1    1    7    1.1807    0.0277   1.2009   1.3973
    1   -1    9    0.1501    0.0192   0.0970   0.0793
   -1    1    9    0.1758    0.0133   0.0983   0.0798
    1    1    9    0.6331    0.0357   0.8106   0.7259
    1   -1   11    0.2714    0.0211   0.4318   0.2638
   -1    1   11    0.2734    0.0140   0.4312   0.2634
    3   -1    3    0.9056    0.0118   0.8654   0.7365
   -1    3    3    0.8683    0.0117   0.8702   0.7453
    3   -3    1    0.4608    0.0101   0.3415   0.1546
   -3    3    1    0.4477    0.0101   0.3405   0.1543
    5   -3    1    0.9298    0.0111   0.9493   0.9164
    3   -1    5    1.3996    0.0181   1.3942   1.8109
   -1    3    5    1.3519    0.0186   1.3073   1.6178
   -3    5    1    0.9013    0.0107   0.9388   0.8990
    3   -1    7    1.6465    0.1560   1.8863   2.0491
   -1    3    7    2.1227    0.1283   2.0346   2.2245
    3   -1    9    1.3108    0.0774   1.5206   1.7245
   -1    3    9    1.3188    0.0362   1.4138   1.5755
    5   -5    1    1.5063    0.0193   1.5132   1.9486
   -5    5    1    1.5319    0.0144   1.5131   1.9486
    7   -5    1    1.0760    0.0159   1.0763   1.1310
   -5    7    1    1.0647    0.0127   1.0543   1.0925
    7   -7    1    0.7265    0.0123   0.6188   0.4114
   -7    7    1    0.6802    0.0106   0.6185   0.4111
    4   -2    2    1.2540    0.0126   1.2377   1.3818
    2   -2    4    0.3027    0.0113   0.2337   0.1176
   -2    2    4    0.2632    0.0108   0.2326   0.1173
   -2    4    2    1.2216    0.0123   1.2010   1.3124
    2   -2    6    0.1800    0.0122   0.0797   0.0721
   -2    2    6    0.1517    0.0107   0.0806   0.0723
    2   -2   10    0.1787    0.0177   0.2489   0.1501
   -2    2   10    0.2084    0.0122   0.2493   0.1504
    6   -4    2    0.9045    0.0153   0.8868   0.8686
    4   -2    6    1.6331    0.0942   1.6139   1.8040
   -2    4    6    1.3035    0.0369   1.4817   1.6225
   -4    6    2    0.8930    0.0129   0.9049   0.8885
    4   -2   10    0.7395    0.0608   0.8991   0.8418
   -2    4   10    0.8574    0.0196   0.9097   0.8577
    6   -6    2    0.1377    0.0108   0.1176   0.0857
   -6    6    2    0.1356    0.0102   0.1181   0.0859
    8   -6    2    1.0963    0.0230   1.0841   1.1213
   -6    8    2    1.1152    0.0143   1.0685   1.0984
    5   -3    3    1.2627    0.0187   1.2212   1.2434
    3   -3    5    0.5674    0.0129   0.6307   0.4655
   -3    3    5    0.5577    0.0114   0.6301   0.4652
   -3    5    3    1.1330    0.0165   1.1447   1.1569
    3   -3    7    0.7830    0.0198   0.6270   0.4106
   -3    3    7    0.7301    0.0125   0.6275   0.4111
    3   -3    9    0.6221    0.0218   0.6208   0.4135
   -3    3    9    0.5784    0.0114   0.6205   0.4132
    5   -3    5    0.8922    0.0146   0.9063   0.8296
   -3    5    5    0.8996    0.0119   0.9191   0.8521
    5   -5    3    0.3250    0.0107   0.2774   0.1405
   -5    5    3    0.2942    0.0102   0.2766   0.1402
    7   -5    3    0.9692    0.0140   0.9689   0.9401
    5   -3    7    1.1006    0.0254   1.0891   1.1766
   -3    5    7    1.1410    0.0172   1.0667   1.1318
   -5    7    3    0.9546    0.0112   0.9723   0.9467
    5   -3    9    0.9681    0.1019   0.9200   0.8684
   -3    5    9    0.7894    0.0170   0.9346   0.8923
   -5    9    3    0.1875    0.0109   0.3922   0.2358
    4   -4    8    0.4409    0.0181   0.3750   0.2121
   -4    4    8    0.4445    0.0129   0.3758   0.2126
   -4    8    4    0.4506    0.0107   0.4120   0.2376
    6   -4    6    1.1854    0.0266   1.0869   1.1657
   -4    6    6    1.1309    0.0135   1.0611   1.1151
    5   -5    5    0.7398    0.0133   0.6020   0.3855
   -5    5    5    0.7156    0.0126   0.6026   0.3860
    7   -5    5    1.2840    0.0434   1.1826   1.2755
    5   -5    7    0.1341    0.0180   0.0818   0.0746
   -5    5    7    0.1338    0.0107   0.0810   0.0743
   -5    7    5    1.1932    0.0176   1.1218   1.1817
    6   -6    6    0.1782    0.0143   0.2490   0.1502
   -6    6    6    0.1811    0.0103   0.2499   0.1507


