# wavelength 2.748510 2.289620 1.935970 1.788965 1.540520 0.709260 0.559360 0.215947 0.209010 0.180195
Li	f'	0.0035	0.0023	0.0015	0.0013	0.0008	-0.0003	-0.0004	-0.0006	-0.0006	-0.0006	f"	0.0013	0.0008	0.0006	0.0005	0.0003	0.0001	0	0	0	0
Be	f'	0.0117	0.0083	0.006	0.0052	0.0038	0.0005	0.0001	-0.0005	-0.0005	-0.0005	f"	0.005	0.0033	0.0023	0.0019	0.0014	0.0002	0.0001	0	0	0
B	f'	0.0263	0.019	0.014	0.0121	0.009	0.0013	0.0004	-0.0009	-0.0009	-0.001	f"	0.0139	0.0094	0.0065	0.0055	0.0039	0.0007	0.0004	0	0	0
C	f'	0.049	0.0364	0.0273	0.0237	0.0181	0.0033	0.0015	-0.0012	-0.0013	-0.0014	f"	0.0313	0.0213	0.0148	0.0125	0.0091	0.0016	0.0009	0.0001	0.0001	0.0001
N	f'	0.0807	0.0606	0.0461	0.0403	0.0311	0.0061	0.003	-0.002	-0.002	-0.0023	f"	0.0606	0.0416	0.0293	0.0248	0.018	0.0033	0.0019	0.0002	0.0002	0.0001
O	f'	0.1213	0.0928	0.0716	0.063	0.0492	0.0106	0.0056	-0.0025	-0.0026	-0.003	f"	0.1057	0.0731	0.0518	0.044	0.0322	0.006	0.0036	0.0004	0.0004	0.0003
F	f'	0.17	0.1324	0.1037	0.092	0.0727	0.0171	0.0096	-0.0027	-0.0028	-0.0034	f"	0.171	0.1192	0.0851	0.0725	0.0534	0.0103	0.0061	0.0007	0.0007	0.0005
Ne	f'	0.2257	0.1793	0.1426	0.1273	0.1019	0.0259	0.0152	-0.0025	-0.0028	-0.0037	f"	0.2621	0.1837	0.1318	0.1126	0.0833	0.0164	0.0098	0.0012	0.0011	0.0008
Na	f'	0.2801	0.2295	0.1857	0.167	0.1353	0.0362	0.0218	-0.0028	-0.0031	-0.0044	f"	0.3829	0.2699	0.1957	0.1667	0.1239	0.0249	0.015	0.0019	0.0017	0.0012
Mg	f'	0.3299	0.2778	0.2309	0.2094	0.1719	0.0486	0.0298	-0.003	-0.0034	-0.0052	f"	0.5365	0.3812	0.2765	0.2373	0.1771	0.0363	0.022	0.0028	0.0026	0.0018
Al	f'	0.376	0.326	0.2774	0.2551	0.213	0.0645	0.0406	-0.002	-0.0026	-0.005	f"	0.7287	0.5212	0.3807	0.3276	0.2455	0.0514	0.0313	0.004	0.0037	0.0027
Si	f'	0.3921	0.3647	0.3209	0.2979	0.2541	0.0817	0.0522	-0.0017	-0.0025	-0.0055	f"	0.9619	0.6921	0.5081	0.4384	0.3302	0.0704	0.0431	0.0056	0.0052	0.0038
P	f'	0.3821	0.3898	0.3592	0.3388	0.2955	0.1023	0.0667	-0.0002	-0.0012	-0.005	f"	1.2423	0.8984	0.6628	0.5731	0.4335	0.0942	0.058	0.0077	0.0071	0.0052
S	f'	0.3167	0.3899	0.3848	0.3706	0.3331	0.1246	0.0826	0.0015	0.0003	-0.0045	f"	1.5665	1.141	0.8457	0.7329	0.5567	0.1234	0.0763	0.0103	0.0096	0.0069
Cl	f'	0.1832	0.3508	0.392	0.3892	0.3639	0.1484	0.0998	0.0032	0.0017	-0.0042	f"	1.9384	1.4222	1.0596	0.9202	0.7018	0.1585	0.0984	0.0134	0.0125	0.0091
