#wave_length 0.84
#field  1.000
#orientation  0.32288 -0.53966  0.77781     0.94605  0.20781 -0.24850   -0.02715  0.81556  0.57755
#   h    k    l          FR       sFR
    2    0    2     0.31840   0.00330
    0    2   -2     0.33480   0.00350
   -2    0    2     0.37460   0.00520
   -1    1    0     0.31960   0.00400
    0   -2    6     0.51860   0.00580
    4    2   -2     0.52990   0.00580
    2    2    0     0.35240   0.00420
   -4    2   -2     0.55150   0.00700
    0    0    4     0.34540   0.00410
    2    2   -4     0.30550   0.00470
   -2    2    0     0.38220   0.00540
   -1    1   -2     1.24910   0.02070
    2    0    0     1.28700   0.02120
    1    1   -2     1.28920   0.02080
    2   -2    4     0.30540   0.00490
   -1   -1    2     1.31000   0.02250
   -2    2   -4     0.31250   0.00510
    4    0    0     0.31140   0.00480
   -2   -2    4     0.30680   0.00570
   -2    4   -6     0.70390   0.00980
   -2    0    0     1.27350   0.02400
   -4    0    0     0.33660   0.00720
    2    4   -6     0.69960   0.00900
    6    0    2     0.71280   0.00940
    0    4   -4     0.49390   0.00780
   -1    1    2     1.24320   0.02150
   -6    0    2     0.72150   0.01170
    1    1    0     0.37170   0.00980
    1   -1    4     0.14430   0.00700
    2    2   -2     0.15290   0.00700
    3    1    0     0.12800   0.00640
   -2    2   -2     0.14900   0.00700
   -1   -1    4     0.13340   0.00630
    6    2   -4     0.70380   0.01390
    0    4   -8     0.72100   0.01470
    3    1   -2     1.21270   0.03670
    6    2    0     0.64860   0.01240
    3   -1    2     1.14040   0.03280
    8    2   -2     0.91000   0.02090
    0   -2    4     1.23500   0.03630
   -6    4   -6     0.90070   0.01990
   -6    2   -4     0.67690   0.01550
   -3    1    0     0.13810   0.00760
    4    4   -4     0.61970   0.01210
    0    2   -4     1.20960   0.04120
   -4    4   -4     0.62210   0.01290
   -8    2   -2     0.90550   0.02480
   -3    1   -2     1.18360   0.03760
   -6    2    0     0.65470   0.01400
   -3   -1    2     1.17770   0.04730
   -4    4   -8     0.85010   0.01960
    1    3   -4     0.12710   0.01140
    4    0    2     0.08200   0.01190
   -1    3   -4     0.06610   0.01190
    4    4   -8     0.81850   0.02310
   -3   -1    4     0.07830   0.01410
   -4    0    2     0.07790   0.01510
    2    6   -8     0.92110   0.03050
    3    1    2     1.21150   0.04700
    1    3   -2     1.17190   0.04210
   -1    3   -2     1.23400   0.04940
    5    1    0     0.08640   0.01470
   -3    1    2     1.18200   0.07160
    3    3   -4     0.08150   0.01480
   -2    0    4     1.32820   0.08850
    1    1    2     1.28570   0.05920
   -8    0    0     0.87180   0.03020
   -3    3   -4     0.10530   0.01630
    6    2   -4     0.70270   0.01740
   -8    0    4     0.87210   0.04990
   -5    1    0     0.10770   0.01740
    4    4   -4     0.62720   0.01460
   -5    3   -4     0.39170   0.03740
    1   -1    6     1.27010   0.11470
    0    4   -6     0.17220   0.02300
   -1   -1    6     1.92810   0.22120
    3    3   -2     1.34120   0.09390
    1    5   -8     0.60810   0.04620
    4    2    0     1.83120   0.20230
   -3    3   -2     1.25020   0.12540
    4    4   -6     0.42360   0.04150
   -1    2   -5     0.89780   0.11650
   -4    3   -5     0.97400   0.13540
    5    3   -4     0.25000   0.04440
   -1    4   -7     0.97150   0.14380
    7    1    0     0.48270   0.06510
   -3    2   -3     0.76040   0.13540
   -2    3   -7     1.13910   0.11660
   -4    4   -6     0.36580   0.04730
   -3    5   -8     0.67750   0.06550
   -1    5   -8     0.53920   0.05580
   -1   -3    8     0.22440   0.05730
    1    3   -6     1.30200   0.18340
   -3    4   -5     1.09610   0.11160
    1   -2    5     0.96160   0.16670
    7    3   -4     0.66930   0.05560
    0    3   -5     0.99900   0.12150
   -1    3   -6     1.46780   0.17540
    5   -3    8     0.61020   0.06990
    5    1   -2     1.04440   0.13480
    0   -3    5     0.95340   0.15240
    3   -2    7     1.20280   0.20250
   -4    2   -4     1.32890   0.20240
    4    2   -4     1.24940   0.15070
   -5    4   -7     1.06260   0.12210
   -1    2   -1     1.57750   0.37770
   -4    2    0     2.38460   0.56080
   -2    5   -9     0.56200   0.12180
    4   -1    3     0.99640   0.22190
    6    2   -2     0.22200   0.06820
    5   -1    2     0.97840   0.21130
   -6    3   -7     0.95370   0.13500
   -6    2   -2     0.21590   0.08500
   -1   -3    6     1.12660   0.19570
   -6    1   -1     1.31810   0.32140
   -5    1   -2     1.50750   0.22010
   -5    2   -5     1.35810   0.26510
    1    2   -3     0.80400   0.21450
    3    2   -3     0.99540   0.26810
    5    1    2     1.38280   0.38360
   -7    2   -3     1.22220   0.23620
    2    1   -1     0.64800   0.24110
   -1   -2    3     0.78940   0.22560
    4    3   -5     0.76810   0.16550
    1    4   -5     1.00000   0.28560
    1    4   -9     1.17580   0.30890
    2    3   -7     0.88540   0.27430
    3    0    1     0.90000   0.30230
   -7    3   -4     0.49100   0.05110
   -1    4   -9     0.73620   0.23680
    6    0    0     3.42850   1.90890
   -7   -2    3     0.63290   0.25150
