   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   2   0   2      0.31840      0.00330      0.33390     72.78305    217.98151
   0   2  -2      0.33480      0.00350      0.33489     73.07205    218.19680
  -2   0   2      0.37460      0.00520      0.34700     74.59366    214.96499
  -1   1   0      0.31960      0.00400      0.32288     14.13896     43.78955
   0  -2   6      0.51860      0.00580      0.54801     84.47751    154.15451
   4   2  -2      0.52990      0.00580      0.53099     76.81857    144.67121
   2   2   0      0.35240      0.00420      0.33139     42.33110    127.73822
  -4   2  -2      0.55150      0.00700      0.53641     77.28491    144.07678
   0   0   4      0.34540      0.00410      0.35870     46.27236    128.99898
   2   2  -4      0.30550      0.00470      0.31614     36.09450    114.17197
  -2   2   0      0.38220      0.00540      0.35524     44.10896    124.16670
  -1   1  -2      1.24910      0.02070      1.27201     41.98010     33.00286
   2   0   0      1.28700      0.02120      1.18186     33.47274     28.32215
   1   1  -2      1.28920      0.02080      1.27218     41.93553     32.96348
   2  -2   4      0.30540      0.00490      0.31593     36.08115    114.20707
  -1  -1   2      1.31000      0.02250      1.27218     41.93553     32.96348
  -2   2  -4      0.31250      0.00510      0.31593     36.08115    114.20707
   4   0   0      0.31140      0.00480      0.30763     33.71408    109.59353
  -2  -2   4      0.30680      0.00570      0.31614     36.09450    114.17197
  -2   4  -6      0.70390      0.00980      0.70869     80.71049    113.88735
  -2   0   0      1.27350      0.02400      1.18186     33.47274     28.32215
  -4   0   0      0.33660      0.00720      0.30763     33.71408    109.59353
   2   4  -6      0.69960      0.00900      0.70764     80.64448    113.96188
   6   0   2      0.71280      0.00940      0.69803     73.88118    105.84208
   0   4  -4      0.49390      0.00780      0.47032     40.13226     85.32960
  -1   1   2      1.24320      0.02150      1.27326     12.77973     10.03703
  -6   0   2      0.72150      0.01170      0.70166     74.09335    105.59707
   1   1   0      0.37170      0.00980      0.31658     14.65012     46.27629
   1  -1   4      0.14430      0.00700      0.17042      5.52080     32.39545
   2   2  -2      0.15290      0.00700      0.14708      4.63834     31.53708
   3   1   0      0.12800      0.00640      0.19177      5.87501     30.63561
  -2   2  -2      0.14900      0.00700      0.15054      4.68269     31.10494
  -1  -1   4      0.13340      0.00630      0.17172      5.51649     32.12469
   6   2  -4      0.70380      0.01390      0.70460     34.92670     49.56960
   0   4  -8      0.72100      0.01470      0.72294     41.49994     57.40405
   3   1  -2      1.21270      0.03670      1.21175     15.89636     13.11855
   6   2   0      0.64860      0.01240      0.63392     35.21254     55.54689
   3  -1   2      1.14040      0.03280      1.21161     15.91398     13.13452
   8   2  -2      0.91000      0.02090      0.89896     59.23796     65.89580
   0  -2   4      1.23500      0.03630      1.29169     14.41015     11.15608
  -6   4  -6      0.90070      0.01990      0.90348     64.64547     71.55149
  -6   2  -4      0.67690      0.01550      0.70444     34.92262     49.57494
  -3   1   0      0.13810      0.00760      0.19545      5.84957     29.92880
   4   4  -4      0.61970      0.01210      0.64211     37.57388     58.51588
   0   2  -4      1.20960      0.04120      1.29169     14.41015     11.15608
  -4   4  -4      0.62210      0.01290      0.64727     37.74434     58.31278
  -8   2  -2      0.90550      0.02480      0.89989     59.26961     65.86286
  -3   1  -2      1.18360      0.03760      1.21161     15.91398     13.13452
  -6   2   0      0.65470      0.01400      0.64203     35.46661     55.24095
  -3  -1   2      1.17770      0.04730      1.21175     15.89636     13.11855
  -4   4  -8      0.85010      0.01960      0.84094     35.80392     42.57608
