#wave_length 0.84
#field  1.000
#orientation_1  0.32288 -0.53966  0.77781     0.94605  0.20781 -0.24850   -0.02715  0.81556  0.57755
#orientation_2  0.65811 -0.44216  0.60942    -0.75280 -0.40103  0.52198    0.01360 -0.80229 -0.59678
#orientation_3  0.65811  0.44216 -0.60942    -0.75280  0.40103 -0.52198    0.01360  0.80229  0.59678
# h_1  k_1  l_1    h_2  k_2  l_2    h_3  k_3  l_3          FR       sFR
    2    0    2      0   -2    2      0    2   -2     0.31840   0.00330
    0    2   -2     -2    0   -2     -2    0    2     0.33480   0.00350
   -2    0    2      2    0   -2      2    0    2     0.37460   0.00520
   -1    1    0   None None None      0    0    2     0.31960   0.00400
    0   -2    6      4   -2    2      4    2   -2     0.51860   0.00580
    4    2   -2     -4   -2    2     -4    2   -2     0.52990   0.00580
    2    2    0     -2   -2    0     -2    2    0     0.35240   0.00420
 None None None      1   -1    0   None None None     0.30860   0.00500
   -4    2   -2      0    2   -6      0   -2    6     0.55150   0.00700
    0    0    4      2   -2    0      2    2    0     0.34540   0.00410
    2    2   -4     -4    0    0     -4    0    0     0.30550   0.00470
   -2    2    0      0    0   -4      0    0    4     0.38220   0.00540
   -1    1   -2     -1    1   -2     -1   -1    2     1.24910   0.02070
    2    0    0     -1   -1    2     -1    1   -2     1.28700   0.02120
    1    1   -2     -2    0    0     -2    0    0     1.28920   0.02080
    2   -2    4      2   -2    4      2    2   -4     0.30540   0.00490
   -1   -1    2      2    0    0      2    0    0     1.31000   0.02250
   -2    2   -4     -2    2   -4     -2   -2    4     0.31250   0.00510
    4    0    0     -2   -2    4     -2    2   -4     0.31140   0.00480
   -2   -2    4      4    0    0      4    0    0     0.30680   0.00570
 None None None   None None None   None None None     0.69550   0.00900
   -2    4   -6     -4    2   -6     -4   -2    6     0.70390   0.00980
   -2    0    0      1    1   -2      1   -1    2     1.27350   0.02400
   -4    0    0      2    2   -4      2   -2    4     0.33660   0.00720
    2    4   -6     -6    0   -2     -6    0    2     0.69960   0.00900
    6    0    2     -2   -4    6     -2    4   -6     0.71280   0.00940
 None None None   None None None   None None None     0.72980   0.01060
    0    4   -4     -4    0   -4     -4    0    4     0.49390   0.00780
   -1    1    2      1   -1   -2      1    1    2     1.24320   0.02150
   -6    0    2   None None None      4   -2    6     0.72150   0.01170
 None None None      4    0   -4   None None None     0.49620   0.00930
    1    1    0     -1   -1    0     -1    1    0     0.37170   0.00980
 None None None     -1   -1   -2   None None None     1.28900   0.02410
    1   -1    4      2   -2    2      2    2   -2     0.14430   0.00700
    2    2   -2     -3   -1    0     -3    1    0     0.15290   0.00700
    3    1    0     -2   -2    2     -2    2   -2     0.12800   0.00640
   -2    2   -2     -1    1   -4     -1   -1    4     0.14900   0.00700
 None None None   None None None   None None None     0.69760   0.01550
   -1   -1    4      3   -1    0      3    1    0     0.13340   0.00630
    6    2   -4     -6   -2    4     -6    2   -4     0.70380   0.01390
    0    4   -8     -6    2   -4     -6   -2    4     0.72100   0.01470
    3    1   -2     -3   -1    2     -3    1   -2     1.21270   0.03670
    6    2    0     -4   -4    4     -4    4   -4     0.64860   0.01240
    3   -1    2      0   -2    4      0    2   -4     1.14040   0.03280
 None None None   None None None   None None None     0.95020   0.02010
    8    2   -2     -6   -4    6     -6    4   -6     0.91000   0.02090
    0   -2    4      3   -1    2      3    1   -2     1.23500   0.03630
 None None None   None None None   None None None     0.74590   0.01870
   -6    4   -6   None None None     -2   -4   10     0.90070   0.01990
   -6    2   -4      0    4   -8      0   -4    8     0.67690   0.01550
   -3    1    0      1    1   -4      1   -1    4     0.13810   0.00760
    4    4   -4     -6   -2    0     -6    2    0     0.61970   0.01210
 None None None      4   -4    4   None None None     0.61890   0.01220
 None None None   None None None   None None None     0.90040   0.02420
    0    2   -4     -3    1   -2     -3   -1    2     1.20960   0.04120
 None None None   None None None   None None None     0.65440   0.01400
   -4    4   -4     -2    2   -8     -2   -2    8     0.62210   0.01290
 None None None   None None None   None None None     0.89410   0.02350
 None None None   None None None   None None None     0.83300   0.02060
 None None None   None None None   None None None     0.85790   0.02340
   -8    2   -2      2    4  -10      2   -4   10     0.90550   0.02480
   -3    1   -2      0    2   -4      0   -2    4     1.18360   0.03760
   -6    2    0      2    2   -8      2   -2    8     0.65470   0.01400
 None None None   None None None   None None None     0.87200   0.02510
   -3   -1    2      3    1   -2      3   -1    2     1.17770   0.04730
 None None None   None None None   None None None     0.47860   0.02610
 None None None   None None None   None None None     0.83780   0.02280
   -4    4   -8     -4    4   -8     -4   -4    8     0.85010   0.01960
 None None None   None None None   None None None     0.85320   0.02380
    1    3   -4     -4    0   -2     -4    0    2     0.12710   0.01140
    4    0    2     -1   -3    4     -1    3   -4     0.08200   0.01190
   -1    3   -4     -3    1   -4     -3   -1    4     0.06610   0.01190
    4    4   -8   None None None     -8    0    0     0.81850   0.02310
 None None None   None None None   None None None     0.86930   0.02570
   -3   -1    4      4    0   -2      4    0    2     0.07830   0.01410
   -4    0    2      3    1   -4      3   -1    4     0.07790   0.01510
    2    6   -8     -8    0   -4     -8    0    4     0.92110   0.03050
    3    1    2     -1   -3    2     -1    3   -2     1.21150   0.04700
    1    3   -2     -3   -1   -2     -3    1    2     1.17190   0.04210
 None None None   None None None   None None None     0.88360   0.03280
 None None None   None None None   None None None     0.77760   0.02940
 None None None      3   -3    4   None None None     0.08660   0.01510
   -1    3   -2     -2    0   -4     -2    0    4     1.23400   0.04940
    5    1    0     -3   -3    4     -3    3   -4     0.08640   0.01470
 None None None      5   -1    0   None None None     0.09820   0.01580
   -3    1    2      2    0   -4      2    0    4     1.18200   0.07160
    3    3   -4     -5   -1    0     -5    1    0     0.08150   0.01480
   -2    0    4      3   -1   -2      3    1    2     1.32820   0.08850
 None None None   None None None   None None None     0.89870   0.02250
    1    1    2      0   -2    0      0    2    0     1.28570   0.05920
   -8    0    0   None None None      4   -4    8     0.87180   0.03020
   -3    3   -4     -2    2   -6     -2   -2    6     0.10530   0.01630
 None None None   None None None   None None None     0.86320   0.02770
    6    2   -4     -6   -2    4     -6    2   -4     0.70270   0.01740
   -8    0    4   None None None      6   -2    8     0.87210   0.04990
   -5    1    0      2    2   -6      2   -2    6     0.10770   0.01740
 None None None   None None None   None None None     0.91610   0.05070
 None None None   None None None   None None None     0.21090   0.02680
 None None None   None None None   None None None     0.29750   0.03000
    4    4   -4     -6   -2    0     -6    2    0     0.62720   0.01460
   -5    3   -4   None None None     -1   -3    8     0.39170   0.03740
    1   -1    6      3   -3    2      3    3   -2     1.27010   0.11470
    0    4   -6     -5    1   -4     -5   -1    4     0.17220   0.02300
   -1   -1    6      4   -2    0      4    2    0     1.92810   0.22120
    3    3   -2     -4   -2    0     -4    2    0     1.34120   0.09390
 None None None   None None None   None None None     0.62280   0.01640
    1    5   -8     -7    1   -4     -7   -1    4     0.60810   0.04620
    4    2    0     -3   -3    2     -3    3   -2     1.83120   0.20230
 None None None   None None None   None None None     0.44120   0.03910
 None None None   None None None   None None None     0.76920   0.06440
   -3    3   -2   None None None     -1   -1    6     1.25020   0.12540
 None None None      0    4  -10   None None None     0.55500   0.04610
    4    4   -6     -7   -1    0     -7    1    0     0.42360   0.04150
   -1    2   -5     -3    2   -3     -3   -2    3     0.89780   0.11650
 None None None   None None None   None None None     0.43790   0.04470
   -4    3   -5     -2    3   -7     -2   -3    7     0.97400   0.13540
    5    3   -4     -6   -2    2     -6    2   -2     0.25000   0.04440
   -1    4   -7     -5    2   -5     -5   -2    5     0.97150   0.14380
    7    1    0     -4   -4    6     -4    4   -6     0.48270   0.06510
 None None None   None None None   None None None     0.66370   0.06950
   -3    2   -3     -1    2   -5     -1   -2    5     0.76040   0.13540
   -2    3   -7     -4    3   -5     -4   -3    5     1.13910   0.11660
 None None None   None None None   None None None     0.66750   0.07600
   -4    4   -6     -3    3   -8     -3   -3    8     0.36580   0.04730
   -3    5   -8     -5    3   -8     -5   -3    8     0.67750   0.06550
 None None None   None None None   None None None     1.24940   0.12920
   -1    5   -8     -6    2   -6     -6   -2    6     0.53920   0.05580
 None None None   None None None   None None None     0.47000   0.04780
   -1   -3    8   None None None      6    2   -2     0.22440   0.05730
 None None None   None None None   None None None     0.91540   0.02870
    1    3   -6     -5    1   -2     -5   -1    2     1.30200   0.18340
 None None None   None None None   None None None     0.96970   0.17540
   -3    4   -5   None None None     -3   -2    7     1.09610   0.11160
    1   -2    5      3   -2    3      3    2   -3     0.96160   0.16670
    7    3   -4     -7   -3    4     -7    3   -4     0.66930   0.05560
    0    3   -5     -4    1   -3     -4   -1    3     0.99900   0.12150
   -1    3   -6     -4    2   -4     -4   -2    4     1.46780   0.17540
    5   -3    8   None None None      3    5   -8     0.61020   0.06990
    5    1   -2     -4   -2    4     -4    2   -4     1.04440   0.13480
 None None None   None None None   None None None     0.91170   0.03090
    0   -3    5   None None None      4    1   -3     0.95340   0.15240
    3   -2    7   None None None      3    4   -5     1.20280   0.20250
   -4    2   -4     -1    3   -6     -1   -3    6     1.32890   0.20240
    4    2   -4     -5   -1    2     -5    1   -2     1.24940   0.15070
 None None None   None None None   None None None     0.60470   0.06760
   -5    4   -7     -3    4   -9     -3   -4    9     1.06260   0.12210
 None None None   None None None   None None None     1.10190   0.14280
 None None None   None None None   None None None     0.61920   0.06830
 None None None   None None None   None None None     0.76660   0.08960
   -1    2   -1     -1    0   -3     -1    0    3     1.57750   0.37770
 None None None   None None None   None None None     0.47890   0.06610
 None None None   None None None   None None None     0.61180   0.07770
   -4    2    0      1    1   -6      1   -1    6     2.38460   0.56080
 None None None   None None None   None None None     2.30320   0.38450
   -2    5   -9     -6    3   -7     -6   -3    7     0.56200   0.12180
 None None None   None None None   None None None     0.91680   0.15360
 None None None   None None None   None None None     0.94470   0.11680
 None None None   None None None   None None None     0.89270   0.02640
    4   -1    3      0   -3    5      0    3   -5     0.99640   0.22190
    6    2   -2     -5   -3    4     -5    3   -4     0.22200   0.06820
    5   -1    2     -1   -3    6     -1    3   -6     0.97840   0.21130
   -6    3   -7     -2    5   -9     -2   -5    9     0.95370   0.13500
 None None None   None None None   None None None     1.35830   0.18590
   -6    2   -2      1    3   -8      1   -3    8     0.21590   0.08500
   -1   -3    6   None None None      5    1   -2     1.12660   0.19570
 None None None   None None None   None None None     1.07400   0.14660
 None None None   None None None   None None None     1.23150   0.17090
 None None None   None None None   None None None     0.61760   0.06520
 None None None   None None None   None None None     0.38640   0.11000
   -6    1   -1      2    3   -7      2   -3    7     1.31810   0.32140
 None None None      4    2   -4   None None None     1.67640   0.31780
   -5    1   -2      1    3   -6      1   -3    6     1.50750   0.22010
 None None None   None None None   None None None     1.02460   0.12090
 None None None   None None None   None None None     0.74600   0.08290
 None None None   None None None   None None None     1.20180   0.26830
   -5    2   -5     -1    4   -7     -1   -4    7     1.35810   0.26510
 None None None   None None None   None None None     1.08180   0.28790
 None None None   None None None   None None None     0.91320   0.15600
    1    2   -3     -3    0   -1     -3    0    1     0.80400   0.21450
    3    2   -3     -4   -1    1     -4    1   -1     0.99540   0.26810
 None None None   None None None   None None None     0.88960   0.11800
 None None None   None None None   None None None     0.92300   0.24010
 None None None      4    1   -5   None None None     0.96750   0.25760
 None None None   None None None   None None None     0.93180   0.25470
    5    1    2     -2   -4    4     -2    4   -4     1.38280   0.38360
   -7    2   -3      1    4   -9      1   -4    9     1.22220   0.23620
    2    1   -1     -2   -1    1     -2    1   -1     0.64800   0.24110
   -1   -2    3   None None None      3    0   -1     0.78940   0.22560
    4    3   -5     -6   -1    1     -6    1   -1     0.76810   0.16550
    1    4   -5   None None None     -5    0    3     1.00000   0.28560
 None None None   None None None   None None None     1.15800   0.22690
 None None None      4   -1    1   None None None     1.02520   0.30370
    1    4   -9     -7    2   -3     -7   -2    3     1.17580   0.30890
 None None None   None None None   None None None     0.55200   0.15520
 None None None   None None None   None None None     0.89260   0.27100
 None None None   None None None   None None None     4.43660   2.39730
 None None None   None None None   None None None     0.85090   0.22360
 None None None   None None None   None None None     1.58450   0.52220
    2    3   -7     -6    1   -1     -6   -1    1     0.88540   0.27430
 None None None   None None None   None None None     0.89000   0.24840
 None None None   None None None   None None None     0.69810   0.20510
 None None None   None None None   None None None     1.25000   0.38410
 None None None   None None None   None None None     1.23750   0.36190
 None None None   None None None   None None None     0.86840   0.24000
 None None None   None None None   None None None     0.80410   0.22750
    3    0    1     -1   -2    3     -1    2   -3     0.90000   0.30230
   -7    3   -4      0    4  -10      0   -4   10     0.49100   0.05110
 None None None   None None None   None None None     2.74110   1.25710
   -1    4   -9     -6    3   -5     -6   -3    5     0.73620   0.23680
    6    0    0     -3   -3    6     -3    3   -6     3.42850   1.90890
 None None None   None None None   None None None     1.39370   0.45500
 None None None   None None None   None None None     1.08570   0.35280
