  h_1  k_1  l_1  iint_u_1  iint_d_1      fr_1  h_2  k_2  l_2  iint_u_2  iint_d_2      fr_2  h_3  k_3  l_3  iint_u_3  iint_d_3      fr_3      fr_mod    fr_exp   sfr_exp
    2    0    2    72.783   217.982   0.33390    0   -2    2    72.165   219.761   0.32838    0    2   -2    72.165   219.761   0.32838     0.33093   0.31840   0.00330
    0    2   -2    73.072   218.197   0.33489   -2    0   -2    73.597   216.700   0.33963   -2    0    2    73.597   216.700   0.33963     0.33742   0.33480   0.00350
   -2    0    2    74.594   214.965   0.34700    2    0   -2    74.534   215.139   0.34645    2    0    2    74.534   215.139   0.34645     0.34670   0.37460   0.00520
   -1    1    0    14.139    43.790   0.32288 None None None      None      None      None    0    0    2    10.058    34.766   0.28930     0.30683   0.31960   0.00400
    0   -2    6    84.478   154.155   0.54801    4   -2    2    76.994   144.466   0.53296    4    2   -2    76.994   144.466   0.53296     0.54019   0.51860   0.00580
    4    2   -2    76.819   144.671   0.53099   -4   -2    2    76.776   144.743   0.53043   -4    2   -2    76.776   144.743   0.53043     0.53069   0.52990   0.00580
    2    2    0    42.331   127.738   0.33139   -2   -2    0    42.306   127.881   0.33082   -2    2    0    42.306   127.881   0.33082     0.33109   0.35240   0.00420
 None None None      None      None      None    1   -1    0    14.472    45.192   0.32023 None None None      None      None      None        None   0.30860   0.00500
   -4    2   -2    77.285   144.077   0.53641    0    2   -6    84.725   153.846   0.55071    0   -2    6    84.725   153.846   0.55071     0.54431   0.55150   0.00700
    0    0    4    46.272   128.999   0.35870    2   -2    0    43.182   126.121   0.34238    2    2    0    43.182   126.121   0.34238     0.35005   0.34540   0.00410
    2    2   -4    36.094   114.172   0.31614   -4    0    0    33.668   109.704   0.30690   -4    0    0    33.668   109.704   0.30690     0.31128   0.30550   0.00470
   -2    2    0    44.109   124.167   0.35524    0    0   -4    47.204   127.172   0.37118    0    0    4    47.204   127.172   0.37118     0.36387   0.38220   0.00540
   -1    1   -2    41.980    33.003   1.27201   -1    1   -2    42.048    33.063   1.27175   -1   -1    2    42.048    33.063   1.27175     1.27187   1.24910   0.02070
    2    0    0    33.473    28.322   1.18186   -1   -1    2    42.002    33.025   1.27183   -1    1   -2    42.002    33.025   1.27183     1.23347   1.28700   0.02120
    1    1   -2    41.936    32.963   1.27218   -2    0    0    33.590    28.429   1.18155   -2    0    0    33.590    28.429   1.18155     1.22698   1.28920   0.02080
    2   -2    4    36.081   114.207   0.31593    2   -2    4    36.063   114.258   0.31562    2    2   -4    36.063   114.258   0.31562     0.31577   0.30540   0.00490
   -1   -1    2    41.936    32.963   1.27218    2    0    0    33.590    28.429   1.18155    2    0    0    33.590    28.429   1.18155     1.22698   1.31000   0.02250
   -2    2   -4    36.081   114.207   0.31593   -2    2   -4    36.063   114.258   0.31562   -2   -2    4    36.063   114.258   0.31562     0.31577   0.31250   0.00510
    4    0    0    33.714   109.594   0.30763   -2   -2    4    36.086   114.214   0.31595   -2    2   -4    36.086   114.214   0.31595     0.31217   0.31140   0.00480
   -2   -2    4    36.094   114.172   0.31614    4    0    0    33.668   109.704   0.30690    4    0    0    33.668   109.704   0.30690     0.31128   0.30680   0.00570
