#wave_length 0.84
#field 1.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 4.00   465.80000   128.97000   301.88000   129.30000
 4.20   323.78000   118.22000   206.06000   120.00000
 4.40   307.14000   115.90000   230.47000   116.53000
 4.60   172.13000   115.84000   236.52000   113.74000
 4.80   164.31000   110.75000   291.60000   110.73000
 5.00   166.47000   106.51000   426.73000   109.08000
 5.20   217.67000   104.66000   183.24000   107.79000
 5.40   84.01000   99.91000   179.87000   99.98000
 5.60   220.87000   98.72000   297.76000   99.83000
 5.80   223.46000   98.77000   149.78000   98.18000
 6.00   408.25000   96.89000   356.86000   96.41000
 6.20   381.21000   94.03000   287.26000   96.94000
 6.40   239.85000   94.06000   101.64000   95.30000
 6.60   58.16000   90.93000   194.35000   89.90000
 6.80   127.79000   88.33000   273.48000   89.35000
 7.00   148.69000   87.50000   165.70000   89.52000
 7.20   34.61000   87.11000   223.81000   88.08000
 7.40   139.23000   85.02000   431.55000   87.94000
 7.60   115.56000   89.95000   251.61000   87.32000
 7.80   185.63000   85.06000   244.73000   82.12000
 8.00   183.16000   69.52000   203.67000   67.54000
 8.20   202.90000   68.57000   255.22000   67.34000
 8.40   311.71000   68.34000   340.96000   67.33000
 8.60   346.00000   66.70000   411.33000   69.25000
 8.80   607.26000   71.38000   655.52000   70.86000
 9.00   1423.10000   79.65000   1648.33000   79.59000
 9.20   2637.88000   85.69000   2515.01000   84.19000
 9.40   2593.55000   85.42000   2685.28000   86.58000
 9.60   1639.65000   78.66000   1821.82000   79.53000
 9.80   661.87000   67.50000   751.09000   68.83000
 10.00   386.03000   64.21000   334.96000   65.28000
 10.20   255.63000   63.67000   278.90000   64.60000
 10.40   198.32000   60.80000   201.41000   62.23000
 10.60   238.27000   61.98000   190.13000   61.43000
 10.80   280.29000   60.60000   271.07000   59.76000
 11.00   170.54000   60.91000   291.55000   61.86000
 11.20   157.47000   60.69000   382.72000   61.42000
 11.40   265.74000   61.48000   314.71000   61.16000
 11.60   235.43000   58.37000   232.22000   59.98000
 11.80   254.36000   54.12000   151.82000   54.65000
 12.00   229.41000   44.41000   197.71000   45.89000
 12.20   179.41000   45.96000   221.01000   45.19000
 12.40   223.14000   45.03000   220.61000   45.51000
 12.60   146.09000   44.35000   249.94000   44.90000
 12.80   185.32000   45.77000   142.71000   44.73000
 13.00   121.45000   44.20000   112.50000   43.76000
 13.20   227.91000   44.04000   211.71000   43.87000
 13.40   189.59000   44.13000   167.53000   43.41000
 13.60   205.87000   44.26000   220.05000   44.31000
 13.80   132.79000   44.57000   197.19000   43.82000
 14.00   239.49000   43.94000   95.79000   43.46000
 14.20   86.81000   43.48000   172.28000   43.30000
 14.40   248.30000   42.95000   164.91000   43.30000
 14.60   207.32000   42.97000   174.02000   42.90000
 14.80   258.53000   43.22000   291.92000   43.70000
 15.00   329.99000   44.05000   404.54000   44.10000
 15.20   696.47000   47.18000   679.65000   46.65000
 15.40   1006.24000   49.93000   989.20000   50.08000
 15.60   1107.28000   50.12000   1106.83000   49.99000
 15.80   981.69000   48.00000   860.17000   47.13000
 16.00   498.98000   41.50000   532.91000   41.57000
 16.20   349.14000   39.47000   280.99000   39.63000
 16.40   245.09000   38.62000   300.46000   38.59000
 16.60   303.71000   38.25000   281.64000   38.48000
 16.80   293.71000   37.70000   182.19000   37.70000
 17.00   208.45000   36.93000   271.36000   36.81000
 17.20   236.32000   37.37000   237.09000   37.21000
 17.40   273.02000   37.67000   288.95000   37.44000
 17.60   391.29000   38.37000   468.62000   38.24000
 17.80   737.89000   40.60000   797.09000   40.69000
 18.00   1476.09000   45.20000   1535.38000   44.65000
 18.20   2263.80000   48.37000   2294.09000   48.15000
 18.40   2466.51000   49.22000   2524.38000   49.18000
 18.60   1930.22000   46.21000   1936.65000   46.20000
 18.80   1315.88000   43.03000   1319.55000   43.10000
 19.00   829.22000   41.17000   948.38000   40.83000
 19.20   712.87000   40.82000   641.87000   41.31000
 19.40   544.69000   40.90000   460.21000   41.16000
 19.60   193.70000   41.43000   251.98000   41.05000
 19.80   100.31000   42.36000   61.19000   41.74000
 20.00   114.94000   41.20000   76.74000   40.93000
 20.20   165.08000   38.07000   160.89000   37.86000
 20.40   163.82000   36.66000   231.86000   36.71000
 20.60   248.01000   35.37000   256.14000   35.19000
 20.80   298.18000   34.22000   240.52000   33.51000
 21.00   249.15000   33.48000   237.69000   33.59000
 21.20   305.65000   33.38000   242.82000   33.22000
 21.40   376.90000   33.23000   322.50000   33.44000
 21.60   554.29000   34.89000   507.36000   34.49000
 21.80   939.46000   37.40000   1031.08000   37.62000
 22.00   1557.48000   41.61000   1602.08000   41.98000
 22.20   1822.72000   46.81000   2027.99000   47.44000
 22.40   1705.98000   50.45000   1698.20000   50.66000
 22.60   1189.44000   50.89000   1118.02000   51.13000
 22.80   633.69000   48.85000   704.47000   48.80000
 23.00   324.74000   45.89000   450.15000   46.09000
 23.20   183.73000   44.30000   340.75000   43.92000
 23.40   247.37000   43.16000   257.73000   43.32000
 23.60   218.40000   42.87000   259.17000   42.54000
 23.80   298.85000   40.21000   250.36000   40.04000
 24.00   425.06000   37.77000   517.72000   37.80000
 24.20   533.65000   35.20000   548.97000   35.08000
 24.40   513.14000   30.40000   575.11000   30.54000
 24.60   455.12000   29.12000   456.17000   29.09000
 24.80   398.09000   28.64000   340.46000   28.84000
 25.00   287.95000   28.53000   294.64000   28.75000
 25.20   218.55000   28.28000   252.34000   28.32000
 25.40   219.11000   28.60000   213.36000   28.54000
 25.60   196.34000   28.94000   194.78000   28.61000
 25.80   182.35000   28.71000   121.43000   28.65000
 26.00   189.43000   28.33000   237.15000   28.56000
 26.20   167.40000   28.56000   169.83000   28.51000
 26.40   206.02000   28.31000   212.26000   28.10000
 26.60   169.54000   27.80000   198.04000   27.61000
 26.80   279.61000   27.78000   313.06000   27.78000
 27.00   390.35000   28.23000   477.90000   27.96000
 27.20   539.74000   28.00000   540.68000   28.35000
 27.40   586.20000   28.86000   627.80000   28.81000
 27.60   532.06000   28.93000   551.12000   28.64000
 27.80   450.78000   28.47000   438.94000   28.26000
 28.00   399.47000   27.64000   332.27000   27.89000
 28.20   356.23000   27.95000   340.46000   27.91000
 28.40   427.78000   27.86000   451.34000   28.14000
 28.60   699.51000   28.77000   676.48000   28.58000
 28.80   1036.65000   29.67000   1116.43000   29.51000
 29.00   1261.00000   30.53000   1326.94000   30.52000
 29.20   1266.19000   30.70000   1278.40000   30.79000
 29.40   1084.81000   29.88000   1143.17000   30.08000
 29.60   873.77000   29.06000   867.65000   28.85000
 29.80   637.90000   27.18000   607.04000   27.05000
 30.00   409.62000   26.86000   470.03000   27.07000
 30.20   347.81000   26.49000   335.12000   26.61000
 30.40   285.22000   26.39000   293.92000   26.20000
 30.60   242.01000   26.30000   328.56000   26.55000
 30.80   456.75000   27.05000   402.12000   26.90000
 31.00   731.44000   28.07000   728.44000   28.07000
 31.20   1303.30000   30.50000   1302.25000   30.59000
 31.40   2025.17000   33.94000   2072.52000   33.95000
 31.60   2703.02000   36.41000   2722.87000   36.56000
 31.80   3016.87000   37.62000   3064.08000   37.67000
 32.00   2772.45000   37.36000   2845.01000   37.30000
 32.20   2214.58000   35.50000   2232.01000   35.45000
 32.40   1539.15000   32.40000   1498.69000   32.59000
 32.60   956.40000   30.78000   906.67000   30.93000
 32.80   589.27000   29.68000   601.91000   29.68000
 33.00   454.94000   28.98000   482.57000   29.01000
 33.20   471.79000   27.72000   440.17000   28.19000
 33.40   427.37000   26.82000   408.16000   27.06000
 33.60   365.64000   26.47000   353.26000   26.30000
 33.80   319.64000   26.24000   331.26000   26.43000
 34.00   255.38000   25.98000   320.36000   25.72000
 34.20   222.33000   25.22000   256.53000   25.23000
 34.40   281.30000   24.91000   193.04000   24.80000
 34.60   209.57000   24.64000   197.30000   24.58000
 34.80   205.75000   24.34000   253.96000   24.33000
 35.00   213.04000   24.37000   251.08000   24.39000
 35.20   281.56000   24.92000   254.42000   24.75000
 35.40   283.15000   25.00000   266.52000   24.99000
 35.60   311.28000   24.99000   308.37000   25.22000
 35.80   365.68000   25.17000   313.57000   24.96000
