    ttheta       exp_up     s_exp_up       mod_up     exp_down   s_exp_down     mod_down
      4.00    465.80000    128.97000    256.00000    301.88000    129.30000    256.00000
      4.20    323.78000    118.22000    256.00000    206.06000    120.00000    256.00000
      4.40    307.14000    115.90000    256.00000    230.47000    116.53000    256.00000
      4.60    172.13000    115.84000    255.72394    236.52000    113.74000    255.72394
      4.80    164.31000    110.75000    255.17183    291.60000    110.73000    255.17183
      5.00    166.47000    106.51000    254.61972    426.73000    109.08000    254.61972
      5.20    217.67000    104.66000    254.06761    183.24000    107.79000    254.06761
      5.40     84.01000     99.91000    253.51549    179.87000     99.98000    253.51549
      5.60    220.87000     98.72000    252.96338    297.76000     99.83000    252.96338
      5.80    223.46000     98.77000    252.41127    149.78000     98.18000    252.41127
      6.00    408.25000     96.89000    251.85915    356.86000     96.41000    251.85915
      6.20    381.21000     94.03000    251.30704    287.26000     96.94000    251.30704
      6.40    239.85000     94.06000    250.75493    101.64000     95.30000    250.75493
      6.60     58.16000     90.93000    250.20282    194.35000     89.90000    250.20282
      6.80    127.79000     88.33000    249.65070    273.48000     89.35000    249.65070
      7.00    148.69000     87.50000    249.09859    165.70000     89.52000    249.09859
      7.20     34.61000     87.11000    248.54648    223.81000     88.08000    248.54648
      7.40    139.23000     85.02000    247.99437    431.55000     87.94000    247.99437
      7.60    115.56000     89.95000    247.44225    251.61000     87.32000    247.44225
      7.80    185.63000     85.06000    246.89014    244.73000     82.12000    246.89014
      8.00    183.16000     69.52000    246.33803    203.67000     67.54000    246.33803
      8.20    202.90000     68.57000    245.78592    255.22000     67.34000    245.78592
      8.40    311.71000     68.34000    245.23380    340.96000     67.33000    245.23380
      8.60    346.00000     66.70000    326.77121    411.33000     69.25000    326.77033
      8.80    607.26000     71.38000    634.88441    655.52000     70.86000    634.88027
      9.00   1423.10000     79.65000   1390.63670   1648.33000     79.59000   1390.62453
      9.20   2637.88000     85.69000   2319.44330   2515.01000     84.19000   2319.42127
      9.40   2593.55000     85.42000   2560.26735   2685.28000     86.58000   2560.24275
      9.60   1639.65000     78.66000   1837.25203   1821.82000     79.53000   1837.23510
      9.80    661.87000     67.50000    918.43057    751.09000     68.83000    918.42338
     10.00    386.03000     64.21000    417.98822    334.96000     65.28000    417.98634
     10.20    255.63000     63.67000    268.84950    278.90000     64.60000    268.84920
     10.40    198.32000     60.80000    239.71268    201.41000     62.23000    239.71268
     10.60    238.27000     61.98000    239.16056    190.13000     61.43000    239.16056
     10.80    280.29000     60.60000    238.60845    271.07000     59.76000    238.60845
     11.00    170.54000     60.91000    238.05634    291.55000     61.86000    238.05634
     11.20    157.47000     60.69000    237.50423    382.72000     61.42000    237.50423
     11.40    265.74000     61.48000    236.95211    314.71000     61.16000    236.95211
     11.60    235.43000     58.37000    236.40000    232.22000     59.98000    236.40000
     11.80    254.36000     54.12000    235.84789    151.82000     54.65000    235.84789
     12.00    229.41000     44.41000    235.29577    197.71000     45.89000    235.29577
     12.20    179.41000     45.96000    234.74366    221.01000     45.19000    234.74366
     12.40    223.14000     45.03000    234.19155    220.61000     45.51000    234.19155
     12.60    146.09000     44.35000    233.63944    249.94000     44.90000    233.63944
     12.80    185.32000     45.77000    233.08732    142.71000     44.73000    233.08732
     13.00    121.45000     44.20000    232.53521    112.50000     43.76000    232.53521
     13.20    227.91000     44.04000    231.98310    211.71000     43.87000    231.98310
     13.40    189.59000     44.13000    231.43099    167.53000     43.41000    231.43099
     13.60    205.87000     44.26000    230.87887    220.05000     44.31000    230.87887
     13.80    132.79000     44.57000    230.32676    197.19000     43.82000    230.32676
     14.00    239.49000     43.94000    229.77465     95.79000     43.46000    229.77465
     14.20     86.81000     43.48000    229.22254    172.28000     43.30000    229.22254
     14.40    248.30000     42.95000    228.67042    164.91000     43.30000    228.67042
     14.60    207.32000     42.97000    228.11831    174.02000     42.90000    228.11831
     14.80    258.53000     43.22000    270.58694    291.92000     43.70000    270.58777
     15.00    329.99000     44.05000    403.88167    404.54000     44.10000    403.88511
     15.20    696.47000     47.18000    698.21928    679.65000     46.65000    698.22845
     15.40   1006.24000     49.93000   1042.27659    989.20000     50.08000   1042.29244
     15.60   1107.28000     50.12000   1141.88338   1106.83000     49.99000   1141.90118
     15.80    981.69000     48.00000    892.36999    860.17000     47.13000    892.38295
     16.00    498.98000     41.50000    539.70133    532.91000     41.57000    539.70746
     16.20    349.14000     39.47000    320.40543    280.99000     39.63000    320.40731
     16.40    245.09000     38.62000    242.38203    300.46000     38.59000    242.38241
     16.60    303.71000     38.25000    222.59718    281.64000     38.48000    222.59718
     16.80    293.71000     37.70000    222.04507    182.19000     37.70000    222.04507
     17.00    208.45000     36.93000    221.49296    271.36000     36.81000    221.49296
     17.20    236.32000     37.37000    220.94085    237.09000     37.21000    220.94085
     17.40    273.02000     37.67000    252.87853    288.95000     37.44000    252.87843
     17.60    391.29000     38.37000    382.90745    468.62000     38.24000    382.90697
     17.80    737.89000     40.60000    774.17954    797.09000     40.69000    774.17790
     18.00   1476.09000     45.20000   1498.84548   1535.38000     44.65000   1498.84169
     18.20   2263.80000     48.37000   2225.25162   2294.09000     48.15000   2225.24575
     18.40   2466.51000     49.22000   2365.85788   2524.38000     49.18000   2365.85191
     18.60   1930.22000     46.21000   1832.11959   1936.65000     46.20000   1832.11619
     18.80   1315.88000     43.03000   1175.18080   1319.55000     43.10000   1175.18129
     19.00    829.22000     41.17000    818.64873    948.38000     40.83000    818.65248
     19.20    712.87000     40.82000    678.10841    641.87000     41.31000    678.11337
     19.40    544.69000     40.90000    535.02172    460.21000     41.16000    535.02574
     19.60    193.70000     41.43000    387.23037    251.98000     41.05000    387.23254
     19.80    100.31000     42.36000    277.98969     61.19000     41.74000    277.99050
