#wavelength 2.35
#field 0.0 0.0 5.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 7.80   0.74282   0.55201   0.24785   0.29666
 8.00   0.18608   0.18170   0.16548   0.17133
 8.20   0.11034   0.11423   0.28454   0.18330
 8.40   0.31213   0.15472   0.18302   0.12327
 8.60   0.19865   0.10696   0.22528   0.11758
 8.80   0.14281   0.09175   0.23950   0.10850
 9.00   0.19768   0.08623   0.17052   0.07751
 9.20   0.25217   0.09337   0.24904   0.09609
 9.40   0.24212   0.08985   0.19075   0.08189
 9.60   0.23018   0.08172   0.29035   0.09004
 9.80   0.22141   0.07974   0.22094   0.08098
 10.00   0.26369   0.07859   0.15114   0.05897
 10.20   0.24892   0.07847   0.18130   0.06809
 10.40   0.17915   0.06131   0.13907   0.05464
 10.60   0.19904   0.06424   0.24559   0.07165
 10.80   0.23069   0.06559   0.18406   0.05638
 11.00   0.19333   0.05952   0.18312   0.05782
 11.20   0.27956   0.06707   0.23042   0.06372
 11.40   0.24724   0.06268   0.26399   0.06538
 11.60   0.14887   0.04907   0.24008   0.06128
 11.80   0.22990   0.05704   0.18639   0.05385
 12.00   0.23013   0.05714   0.25359   0.06015
 12.20   0.24661   0.05438   0.15013   0.04576
 12.40   0.23877   0.05560   0.16187   0.04622
 12.60   0.25590   0.05510   0.22775   0.05286
 12.80   0.28465   0.05644   0.16063   0.04354
 13.00   0.25184   0.05453   0.27606   0.05434
 13.20   0.25730   0.05229   0.20152   0.04709
 13.40   0.18199   0.04476   0.21523   0.04869
 13.60   0.21483   0.04582   0.18815   0.04373
 13.80   0.23724   0.04790   0.24203   0.04903
 14.00   0.23117   0.04401   0.20036   0.04292
 14.20   0.26880   0.04976   0.22255   0.04561
 14.40   0.24038   0.04665   0.26360   0.04738
 14.60   0.22465   0.04486   0.25945   0.04757
 14.80   0.22666   0.04508   0.21995   0.04274
 15.00   0.21848   0.04209   0.23380   0.04309
 15.20   0.21025   0.04069   0.23214   0.04214
 15.40   0.22396   0.03638   0.23855   0.03682
 15.60   0.24964   0.03536   0.22067   0.03422
 15.80   0.24300   0.03485   0.25805   0.03447
 16.00   0.27830   0.03621   0.22191   0.03272
 16.20   0.24835   0.03401   0.24569   0.03400
 16.40   0.24990   0.03338   0.22215   0.03204
 16.60   0.30140   0.03649   0.25415   0.03402
 16.80   0.21474   0.03098   0.22872   0.03129
 17.00   0.30518   0.03613   0.24748   0.03318
 17.20   0.25105   0.03225   0.26825   0.03329
 17.40   0.26087   0.03316   0.25514   0.03222
 17.60   0.28375   0.03375   0.26287   0.03243
 17.80   0.23884   0.03107   0.24030   0.03091
 18.00   0.29401   0.03365   0.28019   0.03272
 18.20   0.30148   0.03285   0.28228   0.03208
 18.40   0.29454   0.03272   0.30039   0.03303
 18.60   0.30571   0.03275   0.31940   0.03334
 18.80   0.34430   0.03461   0.31180   0.03321
 19.00   0.32820   0.03323   0.28356   0.03166
 19.20   0.28219   0.03076   0.31488   0.03306
 19.40   0.29597   0.03135   0.28748   0.03079
 19.60   0.29914   0.03166   0.28606   0.03110
 19.80   0.34234   0.03283   0.27940   0.03011
 20.00   0.29306   0.03025   0.27800   0.03029
 20.20   0.25954   0.02852   0.30791   0.03111
 20.40   0.31989   0.03118   0.30302   0.03019
 20.60   0.29707   0.02996   0.29496   0.03012
 20.80   0.32579   0.03103   0.27101   0.02858
 21.00   0.31084   0.03054   0.28878   0.02936
 21.20   0.32295   0.03039   0.28457   0.02869
 21.40   0.34342   0.03088   0.30376   0.02984
 21.60   0.31113   0.02922   0.32696   0.03030
 21.80   0.32903   0.03002   0.32409   0.03002
 22.00   0.33649   0.02998   0.32812   0.02950
 22.20   0.34288   0.02992   0.34730   0.03052
 22.40   0.34062   0.02977   0.31416   0.02880
 22.60   0.32223   0.02891   0.30186   0.02830
 22.80   0.36260   0.03069   0.29069   0.02787
 23.00   0.31176   0.02841   0.29356   0.02757
 23.20   0.35700   0.02924   0.32230   0.02789
 23.40   0.31546   0.02608   0.28998   0.02499
 23.60   0.32876   0.02442   0.30783   0.02372
 23.80   0.32640   0.02153   0.34634   0.02248
 24.00   0.35600   0.02233   0.36549   0.02267
 24.20   0.38823   0.02323   0.34315   0.02189
 24.40   0.34637   0.02194   0.35369   0.02186
 24.60   0.39939   0.02313   0.32896   0.02154
 24.80   0.39282   0.02292   0.35909   0.02218
 25.00   0.40112   0.02288   0.35383   0.02181
 25.20   0.38175   0.02214   0.38410   0.02222
 25.40   0.39532   0.02247   0.37005   0.02164
 25.60   0.39143   0.02225   0.36015   0.02144
 25.80   0.41718   0.02273   0.38475   0.02197
 26.00   0.47573   0.02374   0.37511   0.02165
 26.20   0.50629   0.02430   0.45726   0.02309
 26.40   0.66508   0.02671   0.51371   0.02454
 26.60   0.84804   0.02893   0.62269   0.02578
 26.80   1.14803   0.03172   0.76677   0.02778
 27.00   1.39204   0.03344   1.01832   0.03057
 27.20   1.81332   0.03595   1.16676   0.03161
 27.40   2.25600   0.03810   1.49247   0.03393
 27.60   2.61270   0.03928   1.73540   0.03510
 27.80   3.05106   0.04105   1.94309   0.03626
 28.00   3.31016   0.04153   2.05456   0.03651
 28.20   3.35126   0.04146   2.12482   0.03675
 28.40   2.89240   0.03961   1.82772   0.03496
 28.60   2.22345   0.03685   1.37709   0.03213
 28.80   1.47238   0.03247   0.95276   0.02834
 29.00   0.91868   0.02798   0.66608   0.02504
 29.20   0.61687   0.02428   0.46984   0.02190
 29.40   0.48274   0.02182   0.42394   0.02073
 29.60   0.51137   0.02246   0.43661   0.02112
 29.80   0.43489   0.02093   0.37802   0.01971
 30.00   0.44162   0.02078   0.39742   0.02003
 30.20   0.45306   0.02093   0.38141   0.01958
 30.40   0.42953   0.02058   0.39001   0.01969
 30.60   0.43208   0.02028   0.39528   0.01962
 30.80   0.42469   0.02023   0.40109   0.01973
 31.00   0.42165   0.02010   0.40346   0.01959
 31.20   0.41604   0.01985   0.39791   0.01943
 31.40   0.41400   0.01982   0.38236   0.01928
 31.60   0.39045   0.01942   0.36666   0.01872
 31.80   0.41640   0.01935   0.38711   0.01906
 32.00   0.40096   0.01870   0.35856   0.01799
 32.20   0.40466   0.01839   0.39538   0.01823
 32.40   0.40233   0.01773   0.37374   0.01720
