     coordx      coordy      b_left     b_right   integ.int        pos.       width
      9.421       0.000    -700.000    -700.000    5050.859       9.395       0.289 
      9.421       5.000    -700.000    -700.000    5015.392       9.395       0.289 
      9.421      10.000    -700.000    -700.000    4910.098       9.395       0.289 
      9.421      15.000    -700.000    -700.000    4738.155       9.395       0.289 
      9.421      20.000    -700.000    -700.000    4504.813       9.395       0.289 
      9.421      25.000    -700.000    -700.000    4217.140       9.395       0.289 
      9.421      30.000    -700.000    -700.000    3883.895       9.395       0.289 
      9.421      35.000    -700.000    -700.000    3515.184       9.395       0.289 
      9.421      40.000    -700.000    -700.000    3122.225       9.395       0.289 
      9.421      45.000    -700.000    -700.000    2716.940       9.395       0.289 
      9.421      50.000    -700.000    -700.000    2311.657       9.396       0.289 
      9.421      55.000    -700.000    -700.000    1918.702       9.396       0.289 
      9.421      60.000    -700.000    -700.000    1549.995       9.396       0.289 
      9.421      65.000    -700.000    -700.000    1216.737       9.397       0.289 
