#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
    4.60000       None       None       None       None       None       None
    4.80000       None       None       None       None       None       None
    5.00000       None       None       None       None       None       None
    5.20000       None       None       None       None       None       None
    5.40000       None       None       None       None       None       None
    5.60000       None       None       None       None       None       None
    5.80000       0.01       0.01       None       None      0.000      0.010
    6.00000       0.09       0.09       0.02       0.02      0.060      0.090
    6.20000       0.91       0.91       0.25       0.25      0.670      0.910
    6.40000       6.46       6.46       1.75       1.75      4.720      6.460
    6.60000      30.84      30.84       8.33       8.33     22.510     30.840
    6.80000     109.59     109.59      29.60      29.60     79.980    109.590
    7.00000     359.55     359.55      97.13      97.13    262.420    359.550
    7.20000    1145.68    1145.68     309.50     309.50    836.190   1145.680
    7.40000    2876.91    2876.91     777.23     777.23   2099.680   2876.910
    7.60000    4935.65    4935.65    1333.94    1333.94   3601.710   4935.650
    7.80000    5594.85    5594.85    1514.98    1514.98   4079.860   5594.850
    8.00000    4191.90    4191.90    1146.60    1146.60   3045.300   4191.900
    8.20000    2113.75    2113.75     618.71     618.71   1495.040   2113.750
    8.40000     877.21     877.21     395.59     395.59    481.620    877.210
    8.60000     748.68     748.68     646.37     646.37    102.310    748.680
    8.80000    1211.09    1211.09    1196.50    1196.50     14.580   1211.090
    9.00000    1540.99    1540.99    1539.55    1539.55      1.440   1540.990
    9.20000    1306.28    1306.28    1306.18    1306.18      0.100   1306.280
    9.40000     728.28     728.28     728.28     728.28      0.010    728.280
    9.60000     266.36     266.36     266.36     266.36      0.000    266.360
    9.80000      64.11      64.11      64.11      64.11      0.000     64.110
   10.00000      10.31      10.31      10.31      10.31      0.000     10.310
   10.20000       1.14       1.14       1.14       1.14      0.000      1.140
   10.40000       0.09       0.09       0.09       0.09      0.000      0.090
   10.60000       0.01       0.01       0.01       0.01      0.000      0.010
   10.80000       None       None       None       None       None       None
   11.00000       None       None       None       None       None       None
   11.20000       0.01       0.01       0.01       0.01      0.000      0.010
   11.40000       0.10       0.10       0.14       0.14     -0.040      0.100
   11.60000       0.72       0.72       1.02       1.02     -0.300      0.720
   11.80000       3.48       3.48       4.92       4.92     -1.440      3.480
   12.00000      12.65      12.65      17.86      17.86     -5.210     12.650
   12.20000      43.37      43.37      61.25      61.25    -17.880     43.370
   12.40000     138.84     138.84     196.08     196.08    -57.240    138.840
   12.60000     332.63     332.63     469.77     469.77   -137.140    332.630
   12.80000     533.07     533.07     752.84     752.84   -219.770    533.070
   13.00000     561.95     561.95     793.62     793.62   -231.670    561.950
   13.20000     391.50     391.50     552.90     552.90   -161.400    391.500
   13.40000     180.85     180.85     255.40     255.40    -74.550    180.850
   13.60000      55.73      55.73      78.62      78.62    -22.890     55.730
   13.80000      12.50      12.50      16.92      16.92     -4.420     12.500
   14.00000       7.08       7.08       5.91       5.91      1.170      7.080
   14.20000      21.51      21.51      14.30      14.30      7.210     21.510
   14.40000      73.00      73.00      48.01      48.01     24.990     73.000
   14.60000     244.85     244.85     160.57     160.57     84.290    244.850
   14.80000     673.27     673.27     439.97     439.97    233.300    673.270
   15.00000    1294.96    1294.96     839.92     839.92    455.030   1294.960
   15.20000    1711.71    1711.71    1081.42    1081.42    630.290   1711.710
   15.40000    1695.00    1695.00     973.32     973.32    721.680   1695.000
   15.60000    1527.28    1527.28     682.65     682.65    844.620   1527.280
   15.80000    1437.28    1437.28     454.17     454.17    983.110   1437.280
   16.00000    1239.73    1239.73     312.49     312.49    927.240   1239.730
   16.20000     818.97     818.97     189.57     189.57    629.400    818.970
   16.40000     382.96     382.96      86.43      86.43    296.530    382.960
   16.60000     124.43     124.43      27.90      27.90     96.530    124.430
   16.80000      28.34      28.34       6.52       6.52     21.820     28.340
   17.00000       4.92       4.92       2.48       2.48      2.440      4.920
   17.20000       2.07       2.07       7.22       7.22     -5.160      2.070
   17.40000       5.50       5.50      25.58      25.58    -20.080      5.500
   17.60000      17.71      17.71      83.03      83.03    -65.320     17.710
   17.80000      55.91      55.91     262.17     262.17   -206.250     55.910
   18.00000     144.65     144.65     678.24     678.24   -533.590    144.650
   18.20000     267.93     267.93    1256.21    1256.21   -988.280    267.930
   18.40000     344.71     344.71    1615.09    1615.09  -1270.380    344.710
   18.60000     311.60     311.60    1451.35    1451.35  -1139.750    311.600
   18.80000     207.94     207.94     924.12     924.12   -716.180    207.940
   19.00000     132.96     132.96     433.10     433.10   -300.140    132.960
   19.20000     169.96     169.96     193.95     193.95    -23.990    169.960
   19.40000     446.49     446.49     217.97     217.97    228.520    446.490
   19.60000    1222.35    1222.35     523.14     523.14    699.210   1222.350
   19.80000    2580.87    2580.87    1095.78    1095.78   1485.080   2580.870
   20.00000    3910.58    3910.58    1665.52    1665.52   2245.060   3910.580
   20.20000    4249.91    4249.91    1827.89    1827.89   2422.020   4249.910
   20.40000    3366.88    3366.88    1482.39    1482.39   1884.490   3366.880
   20.60000    1987.34    1987.34     920.25     920.25   1067.090   1987.340
   20.80000     903.94     903.94     460.57     460.57    443.370    903.940
   21.00000     333.98     333.98     197.24     197.24    136.740    333.980
   21.20000     106.95     106.95      74.92      74.92     32.030    106.950
   21.40000      33.38      33.38      26.78      26.78      6.600     33.380
   21.60000      18.77      18.77      15.13      15.13      3.640     18.770
   21.80000      35.41      35.41      27.01      27.01      8.390     35.410
   22.00000      98.05      98.05      74.13      74.13     23.930     98.050
   22.20000     243.06     243.06     183.61     183.61     59.440    243.060
   22.40000     463.68     463.68     350.16     350.16    113.520    463.680
   22.60000     657.00     657.00     495.61     495.61    161.390    657.000
   22.80000     697.30     697.30     523.96     523.96    173.340    697.300
   23.00000     574.35     574.35     425.27     425.27    149.080    574.350
   23.20000     420.57     420.57     293.16     293.16    127.410    420.570
