#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
    4.60000  626.97        93.64     413.31            90.64    216.562    130.329
    4.80000  708.72        91.83     749.57            92.55    -40.966    130.380
    5.00000  718.07        89.38     575.64            87.29    141.148    124.964
    5.20000  679.62        86.86     595.28            85.63     83.799    121.992
    5.40000  683.03        84.66     580.64            83.17    102.330    118.678
    5.60000  727.63        83.54     705.12            83.16     22.620    117.903
    5.80000  709.16        83.16     653.77            82.39     57.471    117.060
    6.00000  765.50        81.54     654.01            79.82    113.164    114.123
    6.20000  813.40        80.76     865.23            81.57    -51.273    114.787
    6.40000  613.40        78.81     727.05            80.57   -113.448    112.723
    6.60000  530.91        76.38     458.89            75.37     73.496    107.304
    6.80000  892.05        79.61     610.54            75.48    282.725    109.717
    7.00000  932.68        79.59     733.16            76.68    198.945    110.526
    7.20000  1611.08       89.13      863.58           79.10    744.072    119.264
    7.40000  3505.62      109.22      1711.89          88.84   1794.561    140.791
    7.60000  5658.21      131.62      2033.16          95.30   3624.571    162.513
    7.80000  5454.61      124.07      2091.49          91.29   3363.506    154.040
    8.00000  3593.33       88.07      1460.03          68.68   2134.347    111.684
    8.20000  1720.63       70.73      906.50           61.95    813.228     94.026
    8.40000  974.33        61.94     877.03            60.86     97.720     86.841
    8.60000  1670.12       68.42      1546.15          67.16    124.692     95.885
    8.80000  2380.65       76.38      2531.38          77.76   -150.810    109.008
    9.00000  2816.17       80.70      2649.69          79.25    165.559    113.117
    9.20000  2271.40       72.72      2171.75          71.75     98.986    102.154
    9.40000  1246.23       62.53      1157.09          61.57     88.675     87.764
    9.60000  674.62        56.73     593.59            55.76     81.093     79.544
    9.80000  690.47        55.49     574.28            54.09    116.134     77.491
   10.00000  650.11        54.77     447.35            52.21    203.606     75.675
   10.20000  497.37        53.33     447.73            52.69     50.063     74.978
   10.40000  549.61        52.20     475.87            51.27     73.629     73.172
   10.60000  619.58        53.45     436.48            51.27    183.113     74.060
   10.80000  631.83        52.53     653.12            52.77    -19.495     74.496
   11.00000  459.72        51.33     493.73            51.79    -33.276     72.925
   11.20000  439.19        51.03     571.14            52.61   -134.152     73.303
   11.40000  455.23        51.00     406.06            50.45     49.390     71.740
   11.60000  538.38        50.19     536.00            50.17      1.888     70.972
   11.80000  573.93        46.73     579.49            46.81     -2.901     66.184
   12.00000  502.59        37.94     624.97            39.05   -121.685     54.473
   12.20000  382.09        37.94     483.50            38.88   -102.072     54.324
   12.40000  548.98        38.74     632.66            39.48    -83.367     55.325
   12.60000  759.49        40.63     910.88            41.91   -151.550     58.370
   12.80000  938.97        42.75     1051.91           43.68   -112.818     61.120
   13.00000  966.57        41.93     1127.24           43.23   -160.593     60.226
   13.20000  883.26        40.74     887.27            40.78     -4.247     57.644
   13.40000  599.70        38.50     592.61            38.42      6.955     54.393
   13.60000  501.64        37.63     467.09            37.31     34.669     52.992
