#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
    0.00000   26139.48     600.84   25078.94     588.38   1060.540    840.954
    0.20000   30405.01     458.23   30914.10     461.94   -509.093    650.662
    0.40000   38730.70     517.59   38568.12     516.25    162.579    731.033
    0.60000   45214.47     559.05   45353.42     560.09   -138.944    791.355
    0.80000   48134.82     577.26   47382.59     572.86    752.228    813.266
    1.00000   45377.89     560.01   45838.48     562.96   -460.597    794.058
    1.20000   41555.41     536.13   41498.80     535.75     56.612    757.931
    1.40000   36229.55     476.53   36206.27     476.31     23.279    673.756
    1.60000   31623.82     445.07   32399.37     450.62   -775.551    633.359
    1.80000   27985.68     418.87   27360.14     414.26    625.540    589.126
    2.00000   24191.49     389.54   24303.36     390.08   -111.869    551.275
    2.20000   19740.15     351.78   20607.43     359.18   -867.278    502.754
    2.40000   15770.26     314.59   16895.55     325.65  -1125.287    452.790
    2.60000   12199.69     270.42   12042.75     268.66    156.942    381.194
    2.80000    8640.51     222.65    8568.59     221.99     71.922    314.408
    3.00000    6324.59     190.56    6012.18     185.57    312.413    265.991
    3.20000    4520.67     160.95    4917.49     168.00   -396.816    232.657
    3.40000    4194.82     154.84    4269.57     156.54    -74.755    220.177
    3.60000    3566.13     142.85    3634.97     144.22    -68.837    202.991
    3.80000    3059.44     132.49    3238.77     136.10   -179.325    189.939
    4.00000    2987.31      91.59    3083.36      92.96    -95.536    130.500
    4.20000    2736.79      85.00    2880.07      87.14   -144.764    121.748
    4.40000    2641.89      83.52    2712.10      84.51    -69.805    118.866
    4.60000    2709.60      84.51    2584.04      82.57    131.177    118.268
    4.80000    2496.65      81.11    2431.78      80.06     65.031    113.968
    5.00000    2319.09      78.23    2294.69      77.79     23.244    110.335
    5.20000    2300.87      76.38    2451.20      78.84   -148.836    109.785
    5.40000    2255.05      74.21    2205.94      73.47     49.293    104.443
    5.60000    2131.28      72.28    2144.45      72.24     -7.887    102.220
    5.80000    2131.65      72.24    2148.63      72.45    -17.028    102.317
    6.00000    1967.47      69.36    1976.16      69.50    -13.563     98.210
    6.20000    1865.89      67.56    2029.53      70.42   -164.883     97.618
    6.40000    1941.01      68.90    2061.44      70.92   -122.233     98.887
    6.60000    2038.06      68.13    1929.03      66.30    109.865     95.098
    6.80000    1900.50      65.77    1867.55      65.26     32.975     92.655
    7.00000    1856.52      65.06    1927.30      66.24    -67.018     92.946
    7.20000    1900.81      65.74    1838.75      64.75     61.435     92.281
    7.40000    1768.38      63.45    1733.69      62.82     26.625     89.444
    7.60000    1970.08      66.99    1799.44      64.06    170.763     92.694
    7.80000    1880.20      62.82    1737.16      60.30    143.954     87.092
    8.00000    1861.08      51.41    1755.11      49.99    105.585     71.712
    8.20000    1802.92      50.64    1719.56      49.43     83.154     70.771
    8.40000    1737.95      49.69    1676.35      48.79     61.779     69.642
    8.60000    1644.98      48.35    1734.50      49.63    -89.065     69.287
    8.80000    1741.87      49.75    1693.05      49.06     48.157     69.895
    9.00000    1780.31      50.25    1662.97      48.59    115.706     69.923
    9.20000    1684.29      47.46    1648.16      46.93     37.596     66.760
    9.40000    1684.85      47.47    1714.83      47.86    -29.783     67.423
    9.60000    1742.41      48.24    1702.38      47.70     38.870     67.851
    9.80000    1623.62      46.57    1647.91      46.92    -21.425     66.134
   10.00000    1600.59      46.24    1680.63      47.35    -79.782     66.187
   10.20000    1640.48      46.81    1673.31      47.28    -32.638     66.541
   10.40000    1618.70      45.17    1687.56      46.10    -65.065     64.559
   10.60000    1656.34      45.69    1651.86      45.66      4.482     64.593
   10.80000    1567.20      44.44    1532.80      43.97     30.341     62.570
   11.00000    1639.41      45.43    1624.52      45.26     13.567     64.146
   11.20000    1633.02      45.38    1556.81      44.29     74.628     63.410
   11.40000    1618.46      45.18    1574.75      44.61     43.745     63.519
   11.60000    1525.18      43.21    1603.40      44.35    -77.072     61.953
   11.80000    1533.27      39.91    1609.78      40.95    -76.807     57.233
   12.00000    1512.26      32.91    1621.18      34.10   -109.588     47.390
   12.20000    1635.14      34.22    1562.72      33.50     72.612     47.887
   12.40000    1554.68      33.39    1585.68      33.71    -32.234     47.459
   12.60000    1551.65      33.33    1533.02      33.14     18.097     47.004
   12.80000    1620.98      34.08    1575.35      33.61     45.760     47.884
   13.00000    1626.74      33.27    1600.99      33.01     26.348     46.867
   13.20000    1561.43      32.61    1559.53      32.58      1.905     46.092
   13.40000    1586.40      32.87    1550.72      32.50     35.643     46.232
   13.60000    1587.32      32.88    1583.61      32.83      4.969     46.468
   13.80000    1643.60      33.45    1563.43      32.62     80.475     46.724
