#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
    0.00000   -1570.97     836.74    -422.44     827.92    -87.994    823.641
    0.20000    -272.74     646.33   -1201.72     646.73    419.885    642.367
    0.40000    -185.26     730.63    -454.09     727.65    431.402    727.230
    0.60000    -686.63     787.43    -345.33     790.13   -480.249    786.205
    0.80000    -853.49     811.95    -216.41     808.43    115.145    807.109
    1.00000    -288.85     790.67    -279.20     794.69   -470.246    791.293
    1.20000    -213.17     756.89     945.14     761.62  -1101.705    760.575
    1.40000    1121.08     678.83     648.33     676.29    496.024    681.346
    1.60000    1410.78     636.36     564.43     639.70     70.795    642.666
    1.80000    1125.52     597.83    2119.65     596.61   -368.583    605.214
    2.00000    1080.70     556.72     685.15     555.42    283.680    560.829
    2.20000    1731.43     508.18     377.21     510.20    486.941    515.553
    2.40000    1231.67     453.30      71.71     460.71     34.673    461.218
    2.60000     859.24     388.89     894.17     386.75    122.006    394.352
    2.80000    1048.82     323.98    1270.87     325.02   -150.128    334.286
    3.00000     975.90     279.52    1059.32     273.89    228.985    287.052
    3.20000    1047.55     240.36     739.95     246.15    -89.219    253.452
    3.40000     693.05     227.72     391.88     226.05    226.424    233.402
    3.60000     691.81     211.43    1169.50     219.73   -546.529    227.540
    3.80000    1110.14     203.31     837.38     204.50     93.423    216.979
    4.00000     657.12     136.29     648.97     138.07    -82.419    143.578
    4.20000     914.43     129.86     600.58     129.53    168.962    137.207
    4.40000     844.38     127.07     618.49     126.13    155.576    133.923
    4.60000     626.97     126.14     538.87     122.61    216.562    130.329
    4.80000     708.72     122.52     814.44     122.37    -40.966    130.380
    5.00000     718.07     118.78     600.04     116.92    141.148    124.964
    5.20000     679.62     115.67     444.95     116.40     83.799    121.992
    5.40000     683.03     112.58     629.75     110.97    102.330    118.678
    5.60000     727.63     110.47     691.95     110.16     22.620    117.903
    5.80000     709.16     110.16     636.79     109.71     57.471    117.060
    6.00000     765.50     107.05     645.32     105.84    113.164    114.123
    6.20000     813.40     105.29     701.59     107.76    -51.273    114.787
    6.40000     613.40     104.68     606.62     107.34   -113.448    112.723
    6.60000     530.91     102.35     567.92     100.38     73.496    107.304
    6.80000     892.05     103.26     643.49      99.78    282.725    109.717
    7.00000     932.68     102.80     662.38     101.33    198.945    110.526
    7.20000    1611.08     110.75     925.64     102.22    744.072    119.264
    7.40000    3505.62     126.31    1746.58     108.81   1794.561    140.791
    7.60000    5658.21     147.69    2203.80     114.83   3624.571    162.513
    7.80000    5454.61     139.07    2234.53     109.41   3363.506    154.040
    8.00000    3593.33     101.98    1566.00      84.95   2134.347    111.684
    8.20000    1720.63      86.99     989.86      79.25    813.228     94.026
    8.40000     974.33      79.41     938.63      78.00     97.720     86.841
    8.60000    1670.12      83.78    1456.63      83.51    124.692     95.885
    8.80000    2380.65      91.15    2580.20      91.94   -150.810    109.008
    9.00000    2816.17      95.07    2767.03      92.96    165.559    113.117
    9.20000    2271.40      86.84    2207.88      85.73     98.986    102.154
    9.40000    1246.23      78.51    1127.11      77.98     88.675     87.764
    9.60000     674.62      74.47     633.62      73.38     81.093     79.544
    9.80000     690.47      72.44     549.99      71.60    116.134     77.491
   10.00000     650.11      71.68     367.31      70.48    203.606     75.675
   10.20000     497.37      70.96     414.90      70.79     50.063     74.978
   10.40000     549.61      69.03     407.01      68.95     73.629     73.172
   10.60000     619.58      70.32     440.96      68.65    183.113     74.060
   10.80000     631.83      68.81     687.52      68.69    -19.495     74.496
   11.00000     459.72      68.55     508.62      68.78    -33.276     72.925
   11.20000     439.19      68.29     647.35      68.77   -134.152     73.303
   11.40000     455.23      68.13     449.77      67.34     49.390     71.740
   11.60000     538.38      66.23     457.78      66.96      1.888     70.972
   11.80000     573.93      61.45     502.98      62.19     -2.901     66.184
   12.00000     502.59      50.22     516.05      51.84   -121.685     54.473
   12.20000     382.09      51.09     555.92      51.32   -102.072     54.324
   12.40000     548.98      51.14     601.66      51.91    -83.367     55.325
   12.60000     759.49      52.55     929.51      53.43   -151.550     58.370
   12.80000     938.97      54.67    1097.54      55.11   -112.818     61.120
   13.00000     966.57      53.53    1152.99      54.39   -160.593     60.226
   13.20000     883.26      52.18     889.17      52.20     -4.247     57.644
   13.40000     599.70      50.62     628.29      50.32      6.955     54.393
   13.60000     501.64      49.97     470.80      49.70     34.669     52.992
   13.80000     406.53      50.09     476.91      49.47      9.421     52.662
   14.00000     443.33      49.05     406.82      49.38     -4.085     52.034
   14.20000     397.42      49.23     537.60      49.46    -84.185     52.333
   14.40000     574.92      48.77     472.49      48.94     38.629     52.160
   14.60000     672.48      49.67     504.01      48.71    157.375     52.872
   14.80000    1218.70      52.98     942.79      51.45    261.973     58.463
   15.00000    2038.32      57.99    1616.35      55.20    457.201     66.166
   15.20000    2473.27      60.79    1853.08      57.08    649.542     69.787
   15.40000    2408.49      61.02    1586.63      56.71    801.208     68.959
   15.60000    1924.68      57.64    1171.59      53.32    764.079     63.504
   15.80000    1843.13      56.01     922.01      50.64    926.676     60.817
   16.00000    1535.92      50.07     749.12      45.73    796.048     53.671
   16.20000    1223.09      47.57     658.78      44.93    519.056     51.197
   16.40000     781.62      44.96     606.12      43.60    205.534     48.119
   16.60000     619.03      43.37     468.59      42.81    121.899     46.173
   16.80000     505.57      42.14     541.76      43.03    -93.313     45.537
   17.00000     513.34      41.94     502.47      41.39     51.132     44.511
   17.20000     489.86      42.01     440.35      41.58     63.073     44.408
   17.40000     451.39      41.83     527.91      41.98    -50.062     44.635
   17.60000     508.04      42.11     524.50      41.64     32.807     44.761
   17.80000     581.81      42.61     561.33      42.22     40.419     45.560
   18.00000     562.86      42.91     985.82      44.37   -342.591     47.759
   18.20000     766.89      43.21    1608.97      47.21   -806.944     51.035
   18.40000     817.74      43.32    2086.64      49.43  -1236.619     53.281
