#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
    4.60000    3336.57      93.64    3122.91      90.64    216.562    130.329
    4.80000    3205.37      91.83    3246.22      92.55    -40.966    130.380
    5.00000    3037.16      89.38    2894.73      87.29    141.148    124.964
    5.20000    2980.49      86.86    2896.15      85.63     83.799    121.992
    5.40000    2938.08      84.66    2835.69      83.17    102.330    118.678
    5.60000    2858.91      83.54    2836.40      83.16     22.620    117.903
    5.80000    2840.81      83.16    2785.42      82.39     57.471    117.060
    6.00000    2732.97      81.54    2621.48      79.82    113.164    114.123
    6.20000    2679.29      80.76    2731.12      81.57    -51.273    114.787
    6.40000    2554.41      78.81    2668.06      80.57   -113.448    112.723
    6.60000    2568.97      76.38    2496.95      75.37     73.496    107.304
    6.80000    2792.55      79.61    2511.04      75.48    282.725    109.717
    7.00000    2789.20      79.59    2589.68      76.68    198.945    110.526
    7.20000    3511.89      89.13    2764.39      79.10    744.072    119.264
    7.40000    5274.00     109.22    3480.27      88.84   1794.561    140.791
    7.60000    7628.29     131.62    4003.24      95.30   3624.571    162.513
    7.80000    7334.81     124.07    3971.69      91.29   3363.506    154.040
    8.00000    5454.41      88.07    3321.11      68.68   2134.347    111.684
    8.20000    3523.55      70.73    2709.42      61.95    813.228     94.026
    8.40000    2712.28      61.94    2614.98      60.86     97.720     86.841
    8.60000    3315.10      68.42    3191.13      67.16    124.692     95.885
    8.80000    4122.52      76.38    4273.25      77.76   -150.810    109.008
    9.00000    4596.48      80.70    4430.00      79.25    165.559    113.117
    9.20000    3955.69      72.72    3856.04      71.75     98.986    102.154
    9.40000    2931.08      62.53    2841.94      61.57     88.675     87.764
    9.60000    2417.03      56.73    2336.00      55.76     81.093     79.544
    9.80000    2314.09      55.49    2197.90      54.09    116.134     77.491
   10.00000    2250.70      54.77    2047.94      52.21    203.606     75.675
   10.20000    2137.85      53.33    2088.21      52.69     50.063     74.978
   10.40000    2168.31      52.20    2094.57      51.27     73.629     73.172
   10.60000    2275.92      53.45    2092.82      51.27    183.113     74.060
   10.80000    2199.03      52.53    2220.32      52.77    -19.495     74.496
   11.00000    2099.13      51.33    2133.14      51.79    -33.276     72.925
   11.20000    2072.21      51.03    2204.16      52.61   -134.152     73.303
   11.40000    2073.69      51.00    2024.52      50.45     49.390     71.740
   11.60000    2063.56      50.19    2061.18      50.17      1.888     70.972
   11.80000    2107.20      46.73    2112.76      46.81     -2.901     66.184
   12.00000    2014.85      37.94    2137.23      39.05   -121.685     54.473
   12.20000    2017.23      37.94    2118.64      38.88   -102.072     54.324
   12.40000    2103.66      38.74    2187.34      39.48    -83.367     55.325
   12.60000    2311.14      40.63    2462.53      41.91   -151.550     58.370
   12.80000    2559.95      42.75    2672.89      43.68   -112.818     61.120
   13.00000    2593.31      41.93    2753.98      43.23   -160.593     60.226
   13.20000    2444.69      40.74    2448.70      40.78     -4.247     57.644
   13.40000    2186.10      38.50    2179.01      38.42      6.955     54.393
   13.60000    2088.96      37.63    2054.41      37.31     34.669     52.992
   13.80000    2050.13      37.28    2040.34      37.19      9.421     52.662
   14.00000    1992.32      36.77    1997.13      36.81     -4.085     52.034
   14.20000    2029.64      36.61    2115.02      37.39    -84.185     52.333
   14.40000    2124.84      37.05    2086.50      36.71     38.629     52.160
   14.60000    2244.38      38.06    2086.39      36.69    157.375     52.872
   14.80000    2780.00      42.36    2518.03      40.30    261.973     58.463
   15.00000    3620.67      48.33    3164.07      45.19    457.201     66.166
   15.20000    4093.38      51.42    3443.31      47.18    649.542     69.787
   15.40000    4078.00      51.36    3276.85      46.02    801.208     68.959
   15.60000    3650.07      47.46    2886.45      42.19    764.079     63.504
   15.80000    3462.19      46.20    2535.46      39.55    926.676     60.817
   16.00000    3202.64      40.56    2406.59      35.15    796.048     53.671
   16.20000    2808.98      38.00    2290.57      34.30    519.056     51.197
   16.40000    2354.38      34.78    2148.82      33.25    205.534     48.119
   16.60000    2135.48      33.13    2013.67      32.16    121.899     46.173
   16.80000    2018.03      31.83    2110.59      32.55    -93.313     45.537
   17.00000    2042.55      31.68    1991.41      31.27     51.132     44.511
   17.20000    2038.53      31.63    1975.34      31.16     63.073     44.408
   17.40000    2003.38      31.36    2053.69      31.76    -50.062     44.635
   17.60000    2055.19      31.77    2022.59      31.52     32.807     44.761
   17.80000    2134.18      32.38    2093.62      32.05     40.419     45.560
   18.00000    2151.91      32.51    2495.13      34.98   -342.591     47.759
   18.20000    2364.11      33.35    3170.72      38.62   -806.944     51.035
   18.40000    2398.18      33.59    3634.46      41.36  -1236.619     53.281
   18.60000    2339.44      33.16    3537.82      40.81  -1198.216     52.587
   18.80000    2300.05      32.89    3012.78      37.67   -712.733     50.010
   19.00000    2113.12      31.53    2428.46      33.81   -314.874     46.235
   19.20000    2270.61      32.68    2336.79      33.16    -65.837     46.552
   19.40000    2567.20      34.38    2462.58      33.67    104.165     48.126
   19.60000    3336.01      38.78    2923.33      36.32    411.246     53.128
   19.80000    4794.88      46.49    3712.91      40.91   1079.660     61.933
   20.00000    6179.96      51.29    4299.73      42.79   1872.550     66.805
   20.20000    6451.68      50.00    4359.45      41.09   2092.057     64.721
   20.40000    5628.03      46.73    3862.19      38.70   1765.852     60.675
   20.60000    4089.65      39.82    3114.31      34.74    975.344     52.839
   20.80000    2904.29      32.87    2509.68      30.55    394.629     44.875
   21.00000    2390.31      29.84    2320.38      29.41     70.085     41.900
   21.20000    2228.25      28.80    2117.38      28.07    111.454     40.223
   21.40000    2064.49      27.72    2098.42      27.95    -34.251     39.366
   21.60000    2133.63      28.18    2048.70      27.62     85.180     39.463
   21.80000    2143.13      28.25    2147.61      28.27     -4.460     39.961
   22.00000    2387.89      29.30    2373.85      29.22     12.603     41.391
   22.20000    2918.55      32.35    2852.70      31.99     67.120     45.496
   22.40000    3578.30      35.82    3512.74      35.50     64.928     50.433
   22.60000    4163.59      38.65    3978.35      37.78    185.123     54.049
   22.80000    4278.29      39.21    4038.87      38.09    239.642     54.665
   23.00000    3944.12      37.64    3807.21      36.98    136.443     52.769
   23.20000    3630.70      35.78    3449.14      34.86    184.835     49.956
   23.40000    3536.32      35.29    3419.74      34.71    115.519     49.500
   23.60000    3620.59      36.02    3485.72      35.33    135.269     50.459
   23.80000    3979.25      37.75    3368.33      34.74    611.101     51.307
   24.00000    4206.98      38.83    3314.84      34.47    891.922     51.920
   24.20000    4217.03      38.05    3218.89      33.24    996.928     50.526
   24.40000    3759.55      32.38    2857.40      28.23    902.153     42.961
   24.60000    3136.04      29.04    2535.52      26.11    600.458     39.055
   24.80000    2495.19      26.34    2185.51      24.66    309.331     36.086
   25.00000    2189.82      24.67    2053.48      23.89    135.878     34.338
   25.20000    2058.72      24.15    2052.23      24.11      6.283     34.127
   25.40000    2100.71      24.17    2050.65      23.88     50.094     33.977
   25.60000    2296.18      25.27    2114.43      24.25    181.760     35.029
   25.80000    2712.48      27.22    2285.02      24.98    427.736     36.944
   26.00000    3266.20      29.87    2466.54      25.96    799.590     39.577
   26.20000    3832.83      32.63    2672.22      27.24   1160.633     42.506
   26.40000    3913.84      32.98    2676.60      27.27   1236.758     42.793
   26.60000    3691.65      32.02    2553.61      26.64   1138.028     41.656
   26.80000    3164.88      29.65    2327.65      25.43    837.577     39.066
   27.00000    2805.09      27.92    2247.26      24.99    557.817     37.468
   27.20000    2723.14      27.03    2266.25      24.66    456.819     36.584
   27.40000    2922.92      28.48    2498.30      26.34    424.566     38.793
   27.60000    3051.98      29.09    2587.90      26.79    464.290     39.548
   27.80000    3050.91      29.08    2577.25      26.74    473.699     39.506
   28.00000    2818.68      27.96    2450.38      26.08    367.576     38.239
   28.20000    2502.93      26.35    2216.28      24.80    286.496     36.188
   28.40000    2212.28      24.54    2059.96      23.69    152.411     34.107
   28.60000    2080.03      23.52    2008.62      23.12     71.553     32.979
   28.80000    1934.33      21.95    1871.94      21.60     62.336     30.796
   29.00000    1925.71      21.93    1943.48      22.03    -17.818     31.081
   29.20000    1999.22      22.35    1943.74      22.03     55.321     31.384
   29.40000    1996.83      22.33    2033.96      22.53    -37.222     31.723
   29.60000    1994.78      22.31    2005.13      22.37    -10.629     31.595
   29.80000    1948.98      21.67    2018.98      22.05    -69.771     30.918
   30.00000    1945.22      22.04    1952.92      22.09     -7.657     31.203
   30.20000    2035.20      22.53    1944.21      22.02     91.035     31.509
   30.40000    2106.57      22.93    1952.04      22.07    154.391     31.833
   30.60000    2307.59      24.01    2024.08      22.48    284.328     32.897
   30.80000    2475.81      24.87    2062.41      22.70    413.403     33.669
   31.00000    2514.86      24.83    2013.01      22.22    501.968     33.320
   31.20000    2450.12      24.52    2030.99      22.32    418.420     33.158
   31.40000    2347.39      24.21    1983.93      22.26    363.109     32.892
   31.60000    2226.65      23.58    1952.90      22.08    273.569     32.305
   31.80000    2112.98      22.98    2017.54      22.45     95.515     32.129
   32.00000    2069.26      22.74    1988.00      22.29     81.356     31.841
   32.20000    2060.41      22.67    2119.15      22.99    -57.399     32.285
   32.40000    2155.45      22.81    2164.27      22.85     -8.350     32.286
   32.60000    2250.81      23.73    2256.43      23.76     -3.901     33.577
   32.80000    2285.50      23.90    2334.88      24.15    -51.718     33.981
   33.00000    2383.88      24.41    2330.20      24.14     53.883     34.332
   33.20000    2498.22      24.59    2369.84      23.95    127.916     34.334
   33.40000    2573.67      24.19    2478.49      23.74     95.192     33.894
   33.60000    2658.27      24.24    2472.42      23.38    185.653     33.679
   33.80000    2623.94      24.20    2427.46      23.28    196.445     33.580
   34.00000    2433.53      23.52    2309.91      22.92    123.456     32.840
   34.20000    2292.85      22.83    2108.53      21.90    184.269     31.635
   34.40000    2098.78      21.85    2013.07      21.40     85.645     30.587
   34.60000    1994.01      21.30    1967.12      21.16     26.985     30.022
   34.80000    1935.01      20.78    1892.38      20.56     42.732     29.235
   35.00000    1981.05      21.05    1915.05      20.70     65.823     29.523
   35.20000    1981.98      21.25    1932.46      20.99     49.580     29.864
   35.40000    2036.09      21.54    1969.13      21.18     67.636     30.213
   35.60000    2116.41      21.96    2011.54      21.41    104.447     30.673
   35.80000    2188.74      22.34    2090.06      21.83     98.625     31.232
   36.00000    2285.73      22.82    2219.37      22.49     66.515     32.041
   36.20000    2286.33      22.41    2209.45      22.03     76.715     31.430
   36.40000    2308.46      22.94    2165.86      22.22    142.408     31.943
   36.60000    2232.02      22.55    2112.01      21.93    119.821     31.458
   36.80000    2194.56      22.53    2099.85      22.05     94.734     31.526
   37.00000    2148.19      22.13    2006.41      21.39    141.924     30.781
   37.20000    2159.33      22.19    2006.44      21.39    152.998     30.824
   37.40000    2183.08      22.10    2012.69      21.22    170.605     30.635
   37.60000    2293.96      22.67    2043.76      21.40    250.185     31.174
   37.80000    2388.47      23.34    2104.74      21.91    283.648     32.013
   38.00000    2623.84      24.07    2256.73      22.32    368.121     32.831
   38.20000    2868.70      23.53    2394.65      21.50    473.942     31.880
   38.40000    3072.14      24.36    2519.41      22.05    553.021     32.858
   38.60000    3157.96      24.69    2575.32      22.29    582.706     33.266
   38.80000    3166.81      24.28    2573.57      21.89    593.173     32.692
   39.00000    3074.18      24.36    2506.75      22.00    567.582     32.829
   39.20000    2871.69      23.54    2427.71      21.64    444.215     31.975
   39.40000    2743.51      23.01    2370.53      21.39    373.477     31.418
   39.60000    2662.97      22.68    2462.47      21.81    200.056     31.469
   39.80000    2653.88      22.64    2460.85      21.80    193.078     31.432
   40.00000    2627.23      22.32    2467.55      21.64    159.069     31.088
   40.20000    2675.40      22.55    2485.91      21.74    189.197     31.321
   40.40000    2748.00      23.07    2479.25      21.91    268.270     31.812
   40.60000    2770.57      23.15    2433.98      21.69    336.458     31.719
   40.80000    2731.86      23.00    2410.14      21.60    321.963     31.557
   41.00000    2690.28      22.82    2340.93      21.29    349.321     31.205
   41.20000    2608.99      22.47    2249.62      20.87    358.504     30.666
   41.40000    2509.93      21.68    2173.46      20.18    336.409     29.618
   41.60000    2419.67      21.68    2074.21      20.08    345.774     29.553
   41.80000    2287.03      21.06    2052.35      19.96    234.847     29.021
   42.00000    2204.21      20.69    2031.25      19.86    173.126     28.682
   42.20000    2105.40      20.21    1990.90      19.66    114.463     28.194
   42.40000    2088.30      20.14    2005.66      19.75     82.640     28.211
   42.60000    2192.08      20.47    2130.20      20.18     62.309     28.748
   42.80000    2301.26      21.00    2162.21      20.36    138.989     29.246
   43.00000    2434.12      21.80    2274.51      21.07    159.611     30.315
   43.20000    2475.35      21.71    2318.33      21.02    157.105     30.222
   43.40000    2495.52      21.27    2282.10      20.34    213.415     29.430
   43.60000    2446.47      21.05    2252.74      20.21    194.529     29.191
   43.80000    2384.09      20.78    2178.43      19.86    205.628     28.744
   44.00000    2262.18      19.91    2159.40      19.46    102.771     27.839
   44.20000    2156.31      19.80    2080.31      19.45     76.066     27.753
   44.40000    2102.39      19.54    2061.55      19.36     40.864     27.508
   44.60000    2040.32      19.27    1998.62      19.07     41.790     27.107
   44.80000    2012.57      19.13    1983.99      19.00     28.505     26.966
