#wavelength 1.40 
#field  0.000 0.000 1.000
#orientation 0.6468462   -0.6860854   0.3300297 0.2141139   -0.2557555   -0.9343334 0.7319312   0.6810804    -0.0183183 
# h   k   l          FR          sFR
    0    0    8   0.64545   0.01329 
    2    0    6   1.75682   0.0454  
    0    2    6   1.67974   0.03711 
    2    0   10   0.90510   0.02316 
    0    2   10   0.92428   0.01791 
    4   -4    0   0.71857   0.01026 
    6   -6    0   0.44678   0.01115 
    1   -1    1   0.55702   0.01009 
   -1    1    1   0.47052   0.01009 
    1    1    1   0.53666   0.01087 
   -1    1   -1   0.56008   0.01004 
    3   -1    1   1.26615   0.01118 
    1   -1    3   0.54644   0.01049 
   -1    1    3   0.54844   0.01056 
   -1    3    1   1.14614   0.01104 
    1   -1    5   0.28543   0.01051 
   -1    1    5   0.26649   0.01058 
    1    1    5   0.82754   0.0127  
    1   -1    7   0.35757   0.02155 
   -1    1    7   0.30578   0.01314 
    1    1    7   1.18066   0.02768 
    1   -1    9   0.15014   0.01917 
   -1    1    9   0.17578   0.0133  
    1    1    9   0.63305   0.03572 
    1   -1   11   0.27137   0.02112 
   -1    1   11   0.27340   0.01403 
    3   -1    3   0.90560   0.01185 
   -1    3    3   0.86826   0.0117  
    3   -3    1   0.46076   0.01015 
   -3    3    1   0.44771   0.01012 
    5   -3    1   0.92977   0.01107 
    3   -1    5   1.39964   0.01815 
   -1    3    5   1.35193   0.01862 
   -3    5    1   0.90133   0.01075 
    3   -1    7   1.64651   0.15595 
   -1    3    7   2.12272   0.12829 
    3   -1    9   1.31075   0.07739 
   -1    3    9   1.31879   0.03615 
    5   -5    1   1.50629   0.01933 
   -5    5    1   1.53186   0.01441 
    7   -5    1   1.07597   0.01589 
   -5    7    1   1.06467   0.01271 
    7   -7    1   0.72650   0.01227 
   -7    7    1   0.68022   0.01062 
    4   -2    2   1.25396   0.01255 
    2   -2    4   0.30266   0.01133 
   -2    2    4   0.26318   0.01078 
   -2    4    2   1.22160   0.01233 
    2   -2    6   0.17998   0.01217 
   -2    2    6   0.15166   0.01068 
    2   -2   10   0.17871   0.01774 
   -2    2   10   0.20838   0.01222 
    6   -4    2   0.90454   0.0153  
    4   -2    6   1.63311   0.0942  
   -2    4    6   1.30351   0.03692 
   -4    6    2   0.89297   0.01288 
    4   -2   10   0.73947   0.06083 
   -2    4   10   0.85742   0.01961 
    6   -6    2   0.13772   0.01077 
   -6    6    2   0.13565   0.01018 
    8   -6    2   1.09633   0.02295 
   -6    8    2   1.11519   0.01426 
    5   -3    3   1.26273   0.01869 
    3   -3    5   0.56738   0.01288 
   -3    3    5   0.55767   0.0114  
   -3    5    3   1.13296   0.01654 
    3   -3    7   0.78303   0.01983 
   -3    3    7   0.73006   0.01252 
    3   -3    9   0.62207   0.02176 
   -3    3    9   0.57837   0.01136 
    5   -3    5   0.89216   0.01462 
   -3    5    5   0.89956   0.01188 
    5   -5    3   0.32500   0.01066 
   -5    5    3   0.29415   0.01018 
    7   -5    3   0.96916   0.01397 
    5   -3    7   1.10058   0.02537 
   -3    5    7   1.14102   0.01721 
   -5    7    3   0.95459   0.01121 
    5   -3    9   0.96812   0.10189 
   -3    5    9   0.78941   0.01697 
   -5    9    3   0.18746   0.01091 
    4   -4    8   0.44092   0.01809 
   -4    4    8   0.44452   0.01294 
   -4    8    4   0.45055   0.01067 
    6   -4    6   1.18541   0.02655 
   -4    6    6   1.13095   0.01354 
    5   -5    5   0.73981   0.01327 
   -5    5    5   0.71560   0.01259 
    7   -5    5   1.28398   0.04336 
    5   -5    7   0.13415   0.01798 
   -5    5    7   0.13380   0.01067 
   -5    7    5   1.19325   0.01762 
    6   -6    6   0.17824   0.01427 
   -6    6    6   0.18108   0.01033 
