     h    k    l     FRexp    sFRexp    FRmod_ext   FRmod
    0    0    8    0.6454    0.0133   0.7157   0.3599
    2    0    6    1.7568    0.0454   1.6573   2.0578
    0    2    6    1.6797    0.0371   1.5508   1.8762
    2    0   10    0.9051    0.0232   0.9376   0.8766
    0    2   10    0.9243    0.0179   0.9453   0.8913
    4   -4    0    0.7186    0.0103   0.7705   0.2985
    6   -6    0    0.4468    0.0112   0.5075   0.2484
    1   -1    1    0.5570    0.0101   0.5275   0.1900
   -1    1    1    0.4705    0.0101   0.5274   0.1901
    1    1    1    0.5367    0.0109   0.4824   0.3289
   -1    1   -1    0.5601    0.0100   0.5275   0.1900
    3   -1    1    1.2662    0.0112   1.2695   1.3388
    1   -1    3    0.5464    0.0105   0.5606   0.2906
   -1    1    3    0.5484    0.0106   0.5599   0.2901
   -1    3    1    1.1461    0.0110   1.1759   1.2171
    1   -1    5    0.2854    0.0105   0.2682   0.1096
   -1    1    5    0.2665    0.0106   0.2700   0.1101
    1    1    5    0.8275    0.0127   0.8359   0.6271
    1   -1    7    0.3576    0.0215   0.3353   0.1499
   -1    1    7    0.3058    0.0131   0.3343   0.1494
    1    1    7    1.1807    0.0277   1.1368   1.3303
    1   -1    9    0.1501    0.0192   0.0796   0.0747
   -1    1    9    0.1758    0.0133   0.0804   0.0752
    1    1    9    0.6331    0.0357   0.6638   0.6084
    1   -1   11    0.2714    0.0211   0.3513   0.2269
   -1    1   11    0.2734    0.0140   0.3507   0.2265
    3   -1    3    0.9056    0.0118   0.9171   0.7149
   -1    3    3    0.8683    0.0117   0.9200   0.7227
    3   -3    1    0.4608    0.0101   0.4672   0.1434
   -3    3    1    0.4477    0.0101   0.4663   0.1431
    5   -3    1    0.9298    0.0111   0.9317   0.8887
    3   -1    5    1.3996    0.0181   1.4151   1.7723
   -1    3    5    1.3519    0.0186   1.3133   1.5762
   -3    5    1    0.9013    0.0107   0.9202   0.8703
    3   -1    7    1.6465    0.1560   1.9854   2.1448
   -1    3    7    2.1227    0.1283   2.0448   2.2060
    3   -1    9    1.3108    0.0774   1.3078   1.4212
   -1    3    9    1.3188    0.0362   1.2509   1.3430
    5   -5    1    1.5063    0.0193   2.0072   2.7495
   -5    5    1    1.5319    0.0144   2.0075   2.7494
    7   -5    1    1.0760    0.0159   1.0660   1.1038
   -5    7    1    1.0647    0.0127   1.0414   1.0647
    7   -7    1    0.7265    0.0123   0.7437   0.4551
   -7    7    1    0.6802    0.0106   0.7435   0.4547
    4   -2    2    1.2540    0.0126   1.2463   1.3818
    2   -2    4    0.3027    0.0113   0.2207   0.1177
   -2    2    4    0.2632    0.0108   0.2199   0.1174
   -2    4    2    1.2216    0.0123   1.2049   1.3124
    2   -2    6    0.1800    0.0122   0.0961   0.0787
   -2    2    6    0.1517    0.0107   0.0966   0.0789
    2   -2   10    0.1787    0.0177   0.1596   0.1165
   -2    2   10    0.2084    0.0122   0.1600   0.1167
    6   -4    2    0.9045    0.0153   0.9064   0.9018
    4   -2    6    1.6331    0.0942   1.6509   1.7013
   -2    4    6    1.3035    0.0369   1.4897   1.5257
   -4    6    2    0.8930    0.0129   0.9193   0.9152
    4   -2   10    0.7395    0.0608   0.9046   0.8551
   -2    4   10    0.8574    0.0196   0.9145   0.8697
    6   -6    2    0.1377    0.0108   0.0809   0.0744
   -6    6    2    0.1356    0.0102   0.0813   0.0745
    8   -6    2    1.0963    0.0230   1.0634   1.0950
   -6    8    2    1.1152    0.0143   1.0525   1.0788
    5   -3    3    1.2627    0.0187   1.2397   1.2618
    3   -3    5    0.5674    0.0129   0.5372   0.3847
   -3    3    5    0.5577    0.0114   0.5368   0.3844
   -3    5    3    1.1330    0.0165   1.1478   1.1601
    3   -3    7    0.7830    0.0198   0.7871   0.4243
   -3    3    7    0.7301    0.0125   0.7875   0.4248
    3   -3    9    0.6221    0.0218   0.6608   0.3883
   -3    3    9    0.5784    0.0114   0.6605   0.3881
    5   -3    5    0.8922    0.0146   0.9130   0.8204
   -3    5    5    0.8996    0.0119   0.9233   0.8408
    5   -5    3    0.3250    0.0107   0.3318   0.1566
   -5    5    3    0.2942    0.0102   0.3311   0.1562
    7   -5    3    0.9692    0.0140   0.9693   0.9285
    5   -3    7    1.1006    0.0254   1.0612   1.1489
   -3    5    7    1.1410    0.0172   1.0443   1.1072
   -5    7    3    0.9546    0.0112   0.9719   0.9344
    5   -3    9    0.9681    0.1019   0.8605   0.8113
   -3    5    9    0.7894    0.0170   0.8812   0.8390
   -5    9    3    0.1875    0.0109   0.2141   0.1507
    4   -4    8    0.4409    0.0181   0.4718   0.2631
   -4    4    8    0.4445    0.0129   0.4724   0.2636
   -4    8    4    0.4506    0.0107   0.5042   0.2891
    6   -4    6    1.1854    0.0266   1.0994   1.1839
   -4    6    6    1.1309    0.0135   1.0699   1.1277
    5   -5    5    0.7398    0.0133   0.7513   0.4130
   -5    5    5    0.7156    0.0126   0.7517   0.4135
    7   -5    5    1.2840    0.0434   1.1867   1.2434
    5   -5    7    0.1341    0.0180   0.0729   0.0714
   -5    5    7    0.1338    0.0107   0.0723   0.0710
   -5    7    5    1.1932    0.0176   1.1152   1.1492
    6   -6    6    0.1782    0.0143   0.1598   0.1166
   -6    6    6    0.1811    0.0103   0.1605   0.1170


