   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   0   0   8      0.64545      0.01329      0.67515     78.94799    116.93399
   2   0   6      1.75682      0.04540      1.76192     36.05420     20.46299
   0   2   6      1.67974      0.03711      1.63432     35.07792     21.46336
   2   0  10      0.90510      0.02316      0.93305     65.08964     69.76038
   0   2  10      0.92428      0.01791      0.94128     65.39346     69.47272
   4  -4   0      0.71857      0.01026      0.68269     78.75708    115.36283
   6  -6   0      0.44678      0.01115      0.43315     38.05738     87.86136
   1  -1   1      0.55702      0.01009      0.54294     34.39274     63.34530
  -1   1   1      0.47052      0.01009      0.54320     34.53125     63.57022
   1   1   1      0.53666      0.01087      0.50189     33.30241     66.35417
  -1   1  -1      0.56008      0.01004      0.54294     34.39274     63.34530
   3  -1   1      1.26615      0.01118      1.25723     52.00197     41.36219
   1  -1   3      0.54644      0.01049      0.61038     40.17261     65.81570
  -1   1   3      0.54844      0.01056      0.60954     39.96858     65.57154
  -1   3   1      1.14614      0.01104      1.17024     51.29757     43.83501
   1  -1   5      0.28543      0.01051      0.23413     20.68013     88.32778
  -1   1   5      0.26649      0.01058      0.23647     20.93068     88.51423
   1   1   5      0.82754      0.01270      0.82250     58.11033     70.65071
   1  -1   7      0.35757      0.02155      0.34866     30.94840     88.76324
  -1   1   7      0.30578      0.01314      0.34746     30.80487     88.65697
   1   1   7      1.18066      0.02768      1.13595     69.36805     61.06638
   1  -1   9      0.15014      0.01917      0.11954      5.60554     46.89124
  -1   1   9      0.17578      0.01330      0.12052      5.65486     46.92016
   1   1   9      0.63305      0.03572      0.64001     13.02238     20.34729
   1  -1  11      0.27137      0.02112      0.28099     16.13248     57.41360
  -1   1  11      0.27340      0.01403      0.28023     16.08573     57.40112
   3  -1   3      0.90560      0.01185      0.89645     90.21882    100.63977
  -1   3   3      0.86826      0.01170      0.89992     88.41663     98.24902
   3  -3   1      0.46076      0.01015      0.39778     37.45932     94.17019
  -3   3   1      0.44771      0.01012      0.39662     37.29922     94.04229
   5  -3   1      0.92977      0.01107      0.93797     59.08670     62.99406
   3  -1   5      1.39964      0.01815      1.38104     52.62005     38.10167
  -1   3   5      1.35193      0.01862      1.28896     54.28858     42.11818
  -3   5   1      0.90133      0.01075      0.92726     58.32426     62.89928
   3  -1   7      1.64651      0.15595      1.88058     19.11762     10.16581
  -1   3   7      2.12272      0.12829      1.93439     17.18874      8.88589
   3  -1   9      1.31075      0.07739      1.24597     34.51224     27.69916
  -1   3   9      1.31879      0.03615      1.20225     34.85724     28.99337
   5  -5   1      1.50629      0.01933      1.64973     46.45109     28.15683
  -5   5   1      1.53186      0.01441      1.64981     46.46787     28.16562
   7  -5   1      1.07597      0.01589      1.06729     48.03480     45.00640
  -5   7   1      1.06467      0.01271      1.04343     47.76290     45.77508
   7  -7   1      0.72650      0.01227      0.71869     83.23339    115.81265
  -7   7   1      0.68022      0.01062      0.71842     83.19329    115.79987
   4  -2   2      1.25396      0.01255      1.23250     55.32295     44.88687
   2  -2   4      0.30266      0.01133      0.30444     21.02535     69.06262
  -2   2   4      0.26318      0.01078      0.30354     20.92595     68.94029
  -2   4   2      1.22160      0.01233      1.19447     56.75665     47.51612
   2  -2   6      0.17998      0.01217      0.12391      8.09214     65.30451
  -2   2   6      0.15166      0.01068      0.12458      8.14136     65.34797
   2  -2  10      0.17871      0.01774      0.15804      8.56781     54.21299
  -2   2  10      0.20838      0.01222      0.15855      8.59513     54.21232
   6  -4   2      0.90454      0.01530      0.92660     23.70235     25.57982
   4  -2   6      1.63311      0.09420      1.51565     13.66263      9.01435
  -2   4   6      1.30351      0.03692      1.38711     14.60394     10.52829
  -4   6   2      0.89297      0.01288      0.93636     21.71423     23.19015
   4  -2  10      0.73947      0.06083      0.90685     42.58470     46.95893
  -2   4  10      0.85742      0.01961      0.91665     43.02665     46.93901
   6  -6   2      0.13772      0.01077      0.07583      4.48142     59.10064
  -6   6   2      0.13565      0.01018      0.07631      4.51078     59.10776
   8  -6   2      1.09633      0.02295      1.05787     44.48615     42.05264
  -6   8   2      1.11519      0.01426      1.04799     45.31111     43.23612
   5  -3   3      1.26273      0.01869      1.24211     30.09722     24.23072
   3  -3   5      0.56738      0.01288      0.56635     29.26596     51.67502
  -3   3   5      0.55767      0.01140      0.56583     29.19288     51.59288
  -3   5   3      1.13296      0.01654      1.15160     30.67297     26.63508
   3  -3   7      0.78303      0.01983      0.72181     89.60891    124.14405
  -3   3   7      0.73006      0.01252      0.72227     89.71231    124.20881
   3  -3   9      0.62207      0.02176      0.61531     60.22601     97.87837
  -3   3   9      0.57837      0.01136      0.61495     60.17014     97.84551
   5  -3   5      0.89216      0.01462      0.91649     70.15829     76.55074
  -3   5   5      0.89956      0.01188      0.92662     69.23945     74.72273
   5  -5   3      0.32500      0.01066      0.33007     28.02583     84.90837
  -5   5   3      0.29415      0.01018      0.32928     27.94310     84.86213
   7  -5   3      0.96916      0.01397      0.96983     86.46419     89.15352
   5  -3   7      1.10058      0.02537      1.06438     83.30900     78.27010
  -3   5   7      1.14102      0.01721      1.04683     84.09721     80.33505
  -5   7   3      0.95459      0.01121      0.97245     85.98529     88.42091
   5  -3   9      0.96812      0.10189      0.85229     27.62956     32.41791
  -3   5   9      0.78941      0.01697      0.87402     27.39335     31.34187
  -5   9   3      0.18746      0.01091      0.16904      8.30890     49.15322
   4  -4   8      0.44092      0.01809      0.54141     48.48744     89.55834
  -4   4   8      0.44452      0.01294      0.54202     48.54909     89.57049
  -4   8   4      0.45055      0.01067      0.57146     51.43716     90.00994
   6  -4   6      1.18541      0.02655      1.10779     55.65451     50.23938
  -4   6   6      1.13095      0.01354      1.07590     54.09999     50.28354
   5  -5   5      0.73981      0.01327      0.69611     82.27889    118.19813
  -5   5   5      0.71560      0.01259      0.69656     82.35568    118.23282
   7  -5   5      1.28398      0.04336      1.16559     32.38180     27.78158
   5  -5   7      0.13415      0.01798      0.07554      3.68445     48.77523
  -5   5   7      0.13380      0.01067      0.07471      3.64259     48.75671
  -5   7   5      1.19325      0.01762      1.10419     32.42311     29.36372
   6  -6   6      0.17824      0.01427      0.15825      8.57934     54.21271
  -6   6   6      0.18108      0.01033      0.15916      8.62849     54.21146
