#wavelength 1.4
#field 0. 0. 1
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
    8.00   0.00000   1.00000   0.00000   1.00000
    8.10   0.00000   1.00000   0.00000   1.00000
    8.20   0.00000   1.00000   0.00000   1.00000
    8.30   0.00000   1.00000   0.00000   1.00000
    8.40   0.00000   1.00000   0.00000   1.00000
    8.50   0.00000   1.00000   0.00000   1.00000
    8.60   0.00000   1.00000   0.00000   1.00000
    8.70   0.00000   1.00000   0.00000   1.00000
    8.80   0.00000   1.00000   0.00000   1.00000
    8.90   0.00000   1.00000   0.00000   1.00000
    9.00   0.00000   1.00000   0.00000   1.00000
    9.10   0.00000   1.00000   0.00000   1.00000
    9.20   0.00000   1.00000   0.00000   1.00000
    9.30   0.00000   1.00000   0.00000   1.00000
    9.40   0.00000   1.00000   0.00000   1.00000
    9.50   0.00000   1.00000   0.00000   1.00000
    9.60   0.00000   1.00000   0.00000   1.00000
    9.70   0.00000   1.00000   0.00000   1.00000
    9.80   0.00000   1.00000   0.00000   1.00000
    9.90   0.00000   1.00000   0.00000   1.00000
   10.00   0.00000   1.00000   0.00000   1.00000
   10.10   0.00000   1.00000   0.00000   1.00000
   10.20   0.00000   1.00000   0.00000   1.00000
   10.30   0.00000   1.00000   0.00000   1.00000
   10.40   0.00000   1.00000   0.00000   1.00000
   10.50   0.00000   1.00000   0.00000   1.00000
   10.60   0.00000   1.00000   0.00000   1.00000
   10.70   0.00000   1.00000   0.00000   1.00000
   10.80   0.00000   1.00000   0.00000   1.00000
   10.90   0.00000   1.00000   0.00000   1.00000
   11.00   0.00000   1.00000   0.00000   1.00000
   11.10   0.00000   1.00000   0.00000   1.00000
   11.20   0.00000   1.00000   0.00000   1.00000
   11.30   0.00000   1.00000   0.00000   1.00000
   11.40   0.00000   1.00000   0.00000   1.00000
   11.50   0.00000   1.00000   0.00000   1.00000
   11.60   0.00000   1.00000   0.00000   1.00000
   11.70   0.00000   1.00000   0.00000   1.00000
   11.80   0.00000   1.00000   0.00000   1.00000
   11.90   0.00000   1.00000   0.00000   1.00000
   12.00   0.00000   1.00000   0.00000   1.00000
   12.10   0.00000   1.00000   0.00000   1.00000
   12.20   0.00000   1.00000   0.00000   1.00000
   12.30   0.00000   1.00000   0.00000   1.00000
   12.40   0.00000   1.00000   0.00000   1.00000
   12.50   0.00000   1.00000   0.00000   1.00000
   12.60   0.00000   1.00000   0.00000   1.00000
   12.70   0.00000   1.00000   0.00000   1.00000
   12.80   0.00000   1.00000   0.00000   1.00000
