#wavelength 1.4
#field 0. 0.  1.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 5.50    2097174.00    1448.16    2094826.00    1447.35
 6.06    1181741.00    1087.08    1180069.00    1086.31
 6.48    876895.00    936.43    875980.00    935.94
 6.83    791406.00    889.61    789871.00    888.75
 7.13    711426.00    843.46    712159.00    843.90
 7.39    664782.00    815.34    665260.00    815.63
 7.63    634493.00    796.55    633986.00    796.23
 7.85    601882.00    775.81    601558.00    775.60
 8.05    609273.00    780.56    610043.00    781.05
 8.24    585683.00    765.30    587194.00    766.29
 8.43    585639.00    765.27    585811.00    765.38
 8.61    578102.00    760.33    576818.00    759.49
 8.77    596821.00    772.54    596254.00    772.17
 8.94    587115.00    766.23    586497.00    765.83
 9.08    599154.00    774.05    598574.00    773.68
 9.24    632491.00    795.29    630254.00    793.89
 9.39    625399.00    790.82    621993.00    788.67
 9.53    664664.00    815.27    660550.00    812.74
 9.67    660222.00    812.54    653344.00    808.30
 9.80    663246.00    814.40    655715.00    809.76
 9.93    669175.00    818.03    665125.00    815.55
 10.07   660803.00    812.90    656056.00    809.97
 10.19   642796.00    801.75    635500.00    797.18
 10.32   633365.00    795.84    630324.00    793.93
 10.44   607559.00    779.46    604735.00    777.65
 10.55   592234.00    769.57    589446.00    767.75
 10.68   577657.00    760.04    575729.00    758.77
 10.79   564660.00    751.44    562812.00    750.21
 10.90   555782.00    745.51    552557.00    743.34
 11.01   551689.00    742.76    553372.00    743.89
 11.12   556160.00    745.76    555488.00    745.31
 11.23   566322.00    752.54    564518.00    751.34
 11.34   548248.00    740.44    546427.00    739.21
 11.44   564780.00    751.52    563165.00    750.44
 11.54   559811.00    748.21    558786.00    747.52
 11.64   556192.00    745.78    553099.00    743.71
 11.75   555062.00    745.02    553471.00    743.96
 11.85   555684.00    745.44    555018.00    745.00
 11.94   556648.00    746.09    558131.00    747.08
 12.04   554682.00    744.77    554117.00    744.39
 12.14   557996.00    746.99    557132.00    746.41
 12.23   558135.00    747.08    558867.00    747.57
 12.32   555650.00    745.42    555380.00    745.24
 12.41   557811.00    746.87    557255.00    746.50
 12.50   557369.00    746.57    557353.00    746.56
 12.60   555859.00    745.56    554337.00    744.54
 12.69   557828.00    746.88    558404.00    747.26
 12.78   567940.00    753.62    569136.00    754.41
 12.86   558039.00    747.02    559119.00    747.74
 12.95   559500.00    748.00    558812.00    747.54
 13.04   557260.00    746.50    556053.00    745.69
 13.12   566967.00    752.97    568001.00    753.66
 13.20   557537.00    746.68    557260.00    746.50
 13.29   555418.00    745.26    555791.00    745.51
 13.37   563480.00    750.65    563311.00    750.54
 13.46   563211.00    750.47    564441.00    751.29
 13.54   557970.00    746.97    558716.00    747.47
 13.62   559700.00    748.13    560808.00    748.87
 13.70   555705.00    745.46    556731.00    746.14
 13.78   556555.00    746.03    557138.00    746.42
 13.86   561301.00    749.20    562076.00    749.72
 13.94   572178.00    756.42    573728.00    757.45
 14.01   554657.00    744.75    556010.00    745.66
 14.09   561589.00    749.39    562062.00    749.71
 14.17   572789.00    756.83    575580.00    758.67
 14.24   566414.00    752.60    566116.00    752.41
 14.32   571242.00    755.81    573255.00    757.14
 14.39   565900.00    752.26    567534.00    753.35
 14.47   585269.00    765.03    585347.00    765.08
 14.54   561115.00    749.08    561062.00    749.04
 14.62   587223.00    766.30    587119.00    766.24
 14.69   582235.00    763.04    582430.00    763.17
 14.76   584345.00    764.42    584152.00    764.30
 14.83   586313.00    765.71    585073.00    764.90
 14.90   593119.00    770.14    589974.00    768.10
 14.98   605848.00    778.36    603823.00    777.06
 15.05   590285.00    768.30    587205.00    766.29
 15.12   594310.00    770.92    589301.00    767.66
 15.18   602744.00    776.37    600782.00    775.10
 15.26   605268.00    777.99    603729.00    777.00
 15.32   600884.00    775.17    599876.00    774.52
 15.39   602835.00    776.42    600301.00    774.79
 15.46   624979.00    790.56    622304.00    788.86
 15.53   615840.00    784.75    613721.00    783.40
 15.59   618472.00    786.43    616703.00    785.30
 15.66   614788.00    784.08    611990.00    782.30
 15.73   637994.00    798.75    636575.00    797.86
 15.79   629233.00    793.24    627123.00    791.91
 15.86   626812.00    791.71    622378.00    788.91
 15.93   640365.00    800.23    638958.00    799.35
 15.99   635867.00    797.41    631736.00    794.82
 16.06   646475.00    804.04    645109.00    803.19
 16.12   626413.00    791.46    625223.00    790.71
 16.18   643574.00    802.23    643826.00    802.39
 16.25   634198.00    796.37    632497.00    795.30
 16.31   623136.00    789.39    622496.00    788.98
 16.37   637450.00    798.40    637472.00    798.42
 16.44   641252.00    800.78    640767.00    800.48
 16.50   622926.00    789.26    622628.00    789.07
 16.56   610177.00    781.14    609239.00    780.54
 16.62   624832.00    790.46    624229.00    790.08
