#wavelength 2.428257
#field  0.000 0.000 0.001
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
  14.0000      340.6       18.46         340.6       18.46    
  14.1000      336.8       18.35         336.8       18.35    
  14.2000      341.4       18.48         341.4       18.48    
  14.3000      343.8       18.54         343.8       18.54    
  14.4000      335.5       18.32         335.5       18.32    
  14.5000      336.7       18.35         336.7       18.35    
  14.6000      338.5       18.40         338.5       18.40    
  14.7000      333.0       18.25         333.0       18.25    
  14.8000      337.6       18.37         337.6       18.37    
  14.9000      341.8       18.49         341.8       18.49    
  15.0000      340.3       18.45         340.3       18.45    
  15.1000      332.9       18.25         332.9       18.25    
  15.2000      343.4       18.53         343.4       18.53    
  15.3000      341.5       18.48         341.5       18.48    
  15.4000      340.5       18.45         340.5       18.45    
  15.5000      344.6       18.56         344.6       18.56    
  15.6000      344.2       18.55         344.2       18.55    
  15.7000      341.3       18.47         341.3       18.47    
  15.8000      341.3       18.47         341.3       18.47    
  15.9000      339.2       18.42         339.2       18.42    
  16.0000      331.9       18.22         331.9       18.22    
  16.1000      333.1       18.25         333.1       18.25    
  16.2000      343.2       18.53         343.2       18.53    
  16.3000      341.9       18.49         341.9       18.49    
  16.4000      335.8       18.32         335.8       18.32    
  16.5000      338.5       18.40         338.5       18.40    
  16.6000      354.3       18.82         354.3       18.82    
  16.7000      345.6       18.59         345.6       18.59    
  16.8000      344.8       18.57         344.8       18.57    
  16.9000      349.8       18.70         349.8       18.70    
  17.0000      341.4       18.48         341.4       18.48    
  17.1000      346.7       18.62         346.7       18.62    
  17.2000      332.5       18.23         332.5       18.23    
  17.3000      339.6       18.43         339.6       18.43    
  17.4000      334.9       18.30         334.9       18.30    
  17.5000      340.8       18.46         340.8       18.46    
  17.6000      341.4       18.48         341.4       18.48    
  17.7000      334.2       18.28         334.2       18.28    
  17.8000      334.4       18.29         334.4       18.29    
  17.9000      345.6       18.59         345.6       18.59    
  18.0000      330.5       18.18         330.5       18.18    
  18.1000      328.4       18.12         328.4       18.12    
  18.2000      337.0       18.36         337.0       18.36    
  18.3000      337.1       18.36         337.1       18.36    
  18.4000      336.7       18.35         336.7       18.35    
  18.5000      340.3       18.45         340.3       18.45    
  18.6000      337.7       18.38         337.7       18.38    
  18.7000      353.8       18.81         353.8       18.81    
  18.8000      349.6       18.70         349.6       18.70    
  18.9000      394.0       19.85         394.0       19.85    
  19.0000      526.8       22.95         526.8       22.95    
  19.1000      732.9       27.07         732.9       27.07    
  19.2000      868.1       29.46         868.1       29.46    
  19.3000      832.3       28.85         832.3       28.85    
  19.4000      668.3       25.85         668.3       25.85    
  19.5000      465.9       21.58         465.9       21.58    
  19.6000      371.9       19.28         371.9       19.28    
  19.7000      345.7       18.59         345.7       18.59    
  19.8000      333.8       18.27         333.8       18.27    
  19.9000      339.6       18.43         339.6       18.43    
  20.0000      345.9       18.60         345.9       18.60    
  20.1000      348.2       18.66         348.2       18.66    
  20.2000      351.4       18.75         351.4       18.75    
