   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   1   1   0      0.26200      0.00360      0.25617      5.70361     22.26520
   2   1   0      0.50930      0.00750      0.49213      5.40768     10.98842
   0   2   0      2.13440      0.01940      1.95601      7.74066      3.95738
   1   2   0      0.75650      0.00760      0.63956      6.70201     10.47910
   2   2   0      0.49520      0.00230      0.40577      5.30560     13.07529
   1   3   0      2.20800      0.04630      1.10990      0.94862      0.85469
   2   3   0      2.33880      0.20880      2.04583      0.77206      0.37738
   0   4   0      0.21280      0.00450      0.25198      3.57351     14.18156
   1   4   0      0.81050      0.00280      0.83225     23.92683     28.74968
   2   4   0      0.14970      0.01740      0.12603      0.36902      2.92802
   1   5   0      0.14480      0.01160      0.10417      0.59998      5.75934
   2   5   0      0.41400      0.08230      2.42294      0.22085      0.09115
   0   6   0      3.02770      0.19430      3.19514      2.72368      0.85244
   1   6   0      0.58250      0.17360      0.22642      0.04025      0.17778
   2   6   0      0.61370      0.00440      0.62437     42.15952     67.52358
   1   7   0      0.08760      0.02380      0.07718      0.23844      3.08953
   2   7   0      1.09170      0.02060      1.07589     15.94396     14.81931
   0   8   0      0.82730      0.01460      0.82187     33.06523     40.23149
   1   8   0      0.95910      0.14000      1.00333      1.65036      1.64488
   1   0   1      0.51010      0.10960      0.31171      0.02162      0.06936
   1   1   1      0.20060      0.00310      0.19448      1.59217      8.18682
   2   1   1      0.62900      0.00210      0.61599      6.72242     10.91325
   0   2   1      0.71200      0.00200      0.71118      9.82742     13.81852
   1   2   1      3.50330      0.06740      3.25244      7.93603      2.44002
   2   2   1      0.28460      0.00120      0.28240      6.40287     22.67310
   1   3   1      0.10750      0.00110      0.10250      4.61795     45.05233
   2   3   1      0.23670      0.00690      0.20405      0.68202      3.34239
   0   4   1      0.05460      0.00130      0.04747      0.91586     19.29466
   1   4   1      1.60600      0.03350      1.80700      2.76677      1.53114
   2   4   1      0.18860      0.00600      0.16839      1.09021      6.47437
   1   5   1      0.34170      0.00460      0.35428      6.55611     18.50542
   2   5   1      1.08860      0.07150      0.81386      1.25618      1.54348
   0   6   1      1.47250      0.04910      1.29351      4.68216      3.61974
   1   6   1      1.83060      0.42500      1.28661      0.59090      0.45927
   1   9   1      0.10120      0.09880      0.39988      0.69631      1.74132
   0   0   2      0.10240      0.00140      0.07286      3.71966     51.05369
   2   0   2      0.63030      0.00720      0.60235     51.67984     85.79712
   1   1   2      3.41970      0.05080      2.93156     16.67955      5.68966
   2   1   2      1.45210      0.04810      1.48568      4.87831      3.28354
   0   2   2      0.37530      0.00910      0.38847     30.51864     78.56118
   1   2   2      1.08360      0.00710      1.16383     14.25542     12.24875
   2   2   2      0.24040      0.00680      0.24499      1.64256      6.70458
   1   3   2      1.16890      0.01880      1.54545      3.97109      2.56953
   2   3   2      2.31090      0.14560      1.59316      1.84224      1.15635
   0   4   2      3.21900      0.21450      4.15552     14.98164      3.60524
   1   4   2      1.75430      0.08980      1.49298      4.67887      3.13391
   2   4   2      0.34430      0.03200      0.17597      0.29730      1.68947
   1   5   2      0.38530      0.00300      0.40310     15.70762     38.96708
   2   5   2      1.57790      0.02600      1.45568     10.00439      6.87264
   0   6   2      0.30190      0.00430      0.32083      8.33012     25.96462
   1   6   2      0.80640      0.02320      0.82648      3.67289      4.44403
   2   6   2     11.21110      2.11580      8.64996      5.43434      0.62825
   1   7   2      0.47070      0.00690      0.54822     12.25995     22.36309
   2   7   2      2.63130      4.50310      1.52458      0.40869      0.26807
