   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   1   1   0      0.26200      0.00360      0.25617      5.70359     22.26507
   2   1   0      0.50930      0.00750      0.49212      5.40780     10.98880
   0   2   0      2.13440      0.01940      1.95600      7.74074      3.95744
   1   2   0      0.75650      0.00760      0.63954      6.70191     10.47924
   2   2   0      0.49520      0.00230      0.40577      5.30559     13.07529
   1   3   0      2.20800      0.04630      1.10986      0.94860      0.85471
   2   3   0      2.33880      0.20880      2.04582      0.77206      0.37738
   0   4   0      0.21280      0.00450      0.25199      3.57354     14.18150
   1   4   0      0.81050      0.00280      0.83224     23.92678     28.74975
   2   4   0      0.14970      0.01740      0.12603      0.36902      2.92801
   1   5   0      0.14480      0.01160      0.10418      0.59998      5.75935
   2   5   0      0.41400      0.08230      2.42287      0.22086      0.09116
   0   6   0      3.02770      0.19430      3.19515      2.72367      0.85244
   1   6   0      0.58250      0.17360      0.22641      0.04025      0.17778
   2   6   0      0.61370      0.00440      0.62437     42.15955     67.52355
   1   7   0      0.08760      0.02380      0.07718      0.23844      3.08953
   2   7   0      1.09170      0.02060      1.07590     15.94400     14.81928
   0   8   0      0.82730      0.01460      0.82187     33.06524     40.23148
   1   8   0      0.95910      0.14000      1.00333      1.65036      1.64488
   1   0   1      0.51010      0.10960      0.31171      0.02162      0.06936
   1   1   1      0.20060      0.00310      0.19448      1.59217      8.18683
   2   1   1      0.62900      0.00210      0.61598      6.72244     10.91341
   0   2   1      0.71200      0.00200      0.71118      9.82741     13.81850
   1   2   1      3.50330      0.06740      3.25254      7.93624      2.44001
   2   2   1      0.28460      0.00120      0.28240      6.40287     22.67312
   1   3   1      0.10750      0.00110      0.10250      4.61795     45.05231
   2   3   1      0.23670      0.00690      0.20405      0.68204      3.34253
   0   4   1      0.05460      0.00130      0.04747      0.91585     19.29465
   1   4   1      1.60600      0.03350      1.80705      2.76682      1.53112
   2   4   1      0.18860      0.00600      0.16839      1.09021      6.47436
   1   5   1      0.34170      0.00460      0.35428      6.55611     18.50541
   2   5   1      1.08860      0.07150      0.81384      1.25617      1.54350
   0   6   1      1.47250      0.04910      1.29351      4.68216      3.61974
   1   6   1      1.83060      0.42500      1.28661      0.59090      0.45927
   1   9   1      0.10120      0.09880      0.39988      0.69631      1.74132
   0   0   2      0.10240      0.00140      0.07286      3.71960     51.05341
   2   0   2      0.63030      0.00720      0.60235     51.67988     85.79701
   1   1   2      3.41970      0.05080      2.93155     16.67964      5.68971
   2   1   2      1.45210      0.04810      1.48568      4.87857      3.28373
   0   2   2      0.37530      0.00910      0.38847     30.51878     78.56094
   1   2   2      1.08360      0.00710      1.16384     14.25555     12.24871
   2   2   2      0.24040      0.00680      0.24499      1.64256      6.70453
   1   3   2      1.16890      0.01880      1.54548      3.97112      2.56951
   2   3   2      2.31090      0.14560      1.59315      1.84224      1.15635
   0   4   2      3.21900      0.21450      4.15555     14.98168      3.60522
   1   4   2      1.75430      0.08980      1.49300      4.67890      3.13390
   2   4   2      0.34430      0.03200      0.17597      0.29730      1.68948
   1   5   2      0.38530      0.00300      0.40310     15.70764     38.96703
   2   5   2      1.57790      0.02600      1.45570     10.00445      6.87260
   0   6   2      0.30190      0.00430      0.32083      8.33012     25.96463
   1   6   2      0.80640      0.02320      0.82647      3.67287      4.44405
   2   6   2     11.21110      2.11580      8.64997      5.43434      0.62825
   1   7   2      0.47070      0.00690      0.54822     12.25996     22.36308
   2   7   2      2.63130      4.50310      1.52462      0.40869      0.26806
   1   8   2      1.04180      0.04770      0.99997      8.56829      8.56854
   1   0   3      1.26380      0.01620      1.12733     25.19742     22.35151
   1   1   3      0.18020      0.00300      0.15340      2.53588     16.53161
   2   1   3      0.48140      0.00410      0.57531      2.31999      4.03259
   0   2   3      0.11480      0.00340      0.10480      5.45004     52.00471
   1   2   3      0.53390      0.00660      0.60932      1.71563      2.81562
