   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   2   -1    0  17.416000   -57.329315     0.000000      57.3293    7.73699    6.70190    6
   3    0    0  10.055132  -206.961930     0.000000      206.962   13.42135   28.72059    6
   4   -2    0   8.708000  -363.605635     0.000000      363.606   15.50954   66.03706    6
   5   -1    0   6.582629   429.131579     0.000000      429.132   20.56481   51.50698    6
   5   -4    0   6.582629   373.174481     0.000000      373.174   20.56481   38.95014    6
   1    0    1   5.992724    55.481558     0.000000      55.4816   22.61460    0.70666    6
   6   -3    0   5.805333  -297.779975     0.000000       297.78   23.35469   19.03262    6
   2    0   -1   5.666641   -76.458803     0.000000      76.4588   23.93466    1.19196    6
   3   -2   -1   5.388583   431.690502     0.000000      431.691   25.18948   34.13112    6
   3   -1    1   5.388583  -738.919647     0.000000       738.92   25.18948  100.00000    6
   6    0    0   5.027566   154.448669     0.000000      154.449   27.03136    3.76401    6
   4   -3    1   4.936674  -254.883191     0.000000      254.883   27.53877    9.85448    6
   4   -1   -1   4.936674   667.155201     0.000000      667.155   27.53877   67.51577    6
   7   -2    0   4.830329   -32.330930     0.000000      32.3309   28.15742    0.15124    6
   7   -5    0   4.830329   169.928827     0.000000      169.929   28.15742    4.17809    6
   4    0    1   4.749553   326.882153     0.000000      326.882   28.64644   14.90383    6
   5   -3   -1   4.582215   -62.134649     0.000000      62.1346   29.71622    0.49793    6
   5   -2    1   4.582215   -11.980634     0.000000      11.9806   29.71622    0.01851    6
   8   -4    0   4.354000  -115.688369     0.000000      115.688   31.31268    1.54269    6
   5    0   -1   4.294563    29.936443     0.000000      29.9364   31.75741    0.10021    6
   6   -4    1   4.169665  -245.443383     0.000000      245.443   32.73500    6.30862    6
   6   -2   -1   4.169665   -68.117149     0.000000      68.1171   32.73500    0.48590    6
   6   -1    1   4.055066   231.984152     0.000000      231.984   33.68729    5.29574    6
   6   -5   -1   4.055066  -198.906321     0.000000      198.906   33.68729    3.89321    6
   8   -1    0   3.995505    95.997622     0.000000      95.9976   34.20482    0.87725    6
   8   -7    0   3.995505  -223.466879     0.000000      223.467   34.20482    4.75368    6
   7   -4   -1   3.851632  -215.739664     0.000000       215.74   35.52420    4.07919    6
   7   -3    1   3.851632    92.557834     0.000000      92.5578   35.52420    0.75083    6
   9   -6    0   3.800483    95.432641     0.000000      95.4326   36.01859    0.77438    6
   9   -3    0   3.800483    89.969677     0.000000      89.9697   36.01859    0.68826    6
   7   -6    1   3.676034  -167.777086     0.000000      167.777   37.28207    2.21878    6
   7   -1   -1   3.676034    15.869867     0.000000      15.8699   37.28207    0.01985    6
   7    0    1   3.522451  -447.723790     0.000000      447.724   38.97176   14.32614    6
   8   -5    1   3.522451   147.028019     0.000000      147.028   38.97176    1.54493    6
   8   -3   -1   3.522451  -238.880969     0.000000      238.881   38.97176    4.07823    6
  10   -5    0   3.483200  -125.870744     0.000000      125.871   39.42900    1.10337    6
   8   -2    1   3.452543   125.656111     0.000000      125.656   39.79382    1.07734    6
   8   -6   -1   3.452543    23.383095     0.000000      23.3831   39.79382    0.03731    6
   9    0    0   3.351711  -147.429261     0.000000      147.429   41.04403    1.38430    6
  10   -2    0   3.291315    64.679183     0.000000      64.6792   41.83216    0.25535    6
  10   -8    0   3.291315    98.872962     0.000000       98.873   41.83216    0.59670    6
   9   -4    1   3.265414   385.946678     0.000000      385.947   42.17974    8.92511    6
   9   -5   -1   3.265414    93.509875     0.000000      93.5099   42.17974    0.52393    6
   8    0   -1   3.209487   122.972184     0.000000      122.972   42.95084    0.87002    6
   9   -7    1   3.156339    28.125638     0.000000      28.1256   43.71096    0.04375    6
   9   -2   -1   3.156339   138.423072     0.000000      138.423   43.71096    1.05977    6
  11   -4    0   3.128006  -266.279437     0.000000      266.279   44.12758    3.83882    6
