   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   0   0   8      0.64545      0.01329      0.66320     64.90996     97.87328
   2   0   6      1.75682      0.04540      1.50196     34.55897     23.00928
   0   2   6      1.67974      0.03711      1.42279     33.85736     23.79645
   2   0  10      0.90510      0.02316      0.94129     57.55669     61.14663
   0   2  10      0.92428      0.01791      0.94854     57.78922     60.92457
   4  -4   0      0.71857      0.01026      0.65470     65.21109     99.60479
   6  -6   0      0.44678      0.01115      0.52254     40.67504     77.84157
   1  -1   1      0.55702      0.01009      0.52113     27.93465     53.60442
  -1   1   1      0.47052      0.01009      0.52168     28.06909     53.80570
   1   1   1      0.53666      0.01087      0.50573     27.57699     54.52931
  -1   1  -1      0.56008      0.01004      0.52113     27.93465     53.60442
   3  -1   1      1.26615      0.01118      1.25439     42.64020     33.99279
   1  -1   3      0.54644      0.01049      0.59258     31.81558     53.69013
  -1   1   3      0.54844      0.01056      0.59153     31.62762     53.46711
  -1   3   1      1.14614      0.01104      1.16736     41.99525     35.97450
   1  -1   5      0.28543      0.01051      0.29552     22.19299     75.09929
  -1   1   5      0.26649      0.01058      0.29764     22.40296     75.26768
   1   1   5      0.82754      0.01270      0.83236     49.57420     59.55883
   1  -1   7      0.35757      0.02155      0.37176     27.14873     73.02793
  -1   1   7      0.30578      0.01314      0.37056     27.02570     72.93120
   1   1   7      1.18066      0.02768      1.12934     56.59157     50.11028
   1  -1   9      0.15014      0.01917      0.08414      3.40296     40.44373
  -1   1   9      0.17578      0.01330      0.08539      3.45626     40.47547
   1   1   9      0.63305      0.03572      0.70544     14.58499     20.67507
   1  -1  11      0.27137      0.02112      0.40386     21.54488     53.34799
  -1   1  11      0.27340      0.01403      0.40321     21.50495     53.33386
   3  -1   3      0.90560      0.01185      0.89731     76.68066     85.45616
  -1   3   3      0.86826      0.01170      0.90065     75.23481     83.53434
   3  -3   1      0.46076      0.01015      0.43541     35.58174     81.71969
  -3   3   1      0.44771      0.01012      0.43435     35.44591     81.60648
   5  -3   1      0.92977      0.01107      0.93952     49.68056     52.87840
   3  -1   5      1.39964      0.01815      1.32321     44.42035     33.57027
  -1   3   5      1.35193      0.01862      1.24782     45.90114     36.78514
  -3   5   1      0.90133      0.01075      0.92954     49.09978     52.82161
   3  -1   7      1.64651      0.15595      1.85270     16.53281      8.92365
  -1   3   7      2.12272      0.12829      1.90356     14.91994      7.83790
   3  -1   9      1.31075      0.07739      1.25010     26.55875     21.24534
  -1   3   9      1.31879      0.03615      1.20404     26.90479     22.34536
   5  -5   1      1.50629      0.01933      1.76967     38.54818     21.78269
  -5   5   1      1.53186      0.01441      1.76962     38.56956     21.79537
   7  -5   1      1.07597      0.01589      1.05464     43.05091     40.82053
  -5   7   1      1.06467      0.01271      1.03440     42.84481     41.41998
   7  -7   1      0.72650      0.01227      0.71705     69.24562     96.56973
  -7   7   1      0.68022      0.01062      0.71678     69.21088     96.55781
   4  -2   2      1.25396      0.01255      1.21449     46.97644     38.68011
   2  -2   4      0.30266      0.01133      0.26872     15.22980     56.67430
  -2   2   4      0.26318      0.01078      0.26762     15.13710     56.56115
