   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   1   1   0      0.26200      0.00360      0.26999      5.50982     20.40741
   2   1   0      0.50930      0.00750      0.50859      5.31098     10.44267
   0   2   0      2.13440      0.01940      1.86438      7.86743      4.21986
   1   2   0      0.75650      0.00760      0.66174      6.76603     10.22464
   2   2   0      0.49520      0.00230      0.41891      5.31361     12.68443
   1   3   0      2.20800      0.04630      0.94597      0.87490      0.92488
   2   3   0      2.33880      0.20880      1.91845      0.76432      0.39840
   0   4   0      0.21280      0.00450      0.28081      3.74381     13.33203
   1   4   0      0.81050      0.00280      0.84337     24.00002     28.45725
   2   4   0      0.14970      0.01740      0.13724      0.36681      2.67273
   1   5   0      0.14480      0.01160      0.10625      0.57915      5.45075
   2   5   0      0.41400      0.08230      2.34271      0.20849      0.08900
   0   6   0      3.02770      0.19430      3.00039      2.60074      0.86680
   1   6   0      0.58250      0.17360      0.24767      0.04164      0.16812
   2   6   0      0.61370      0.00440      0.64505     42.52161     65.92000
   1   7   0      0.08760      0.02380      0.08306      0.24266      2.92139
   2   7   0      1.09170      0.02060      1.06909     15.91972     14.89089
   0   8   0      0.82730      0.01460      0.83281     33.15755     39.81406
   1   8   0      0.95910      0.14000      1.00221      1.64952      1.64589
   1   0   1      0.51010      0.10960      0.32293      0.02130      0.06597
   1   1   1      0.20060      0.00310      0.19996      1.52627      7.63288
   2   1   1      0.62900      0.00210      0.63548      6.71140     10.56121
   0   2   1      0.71200      0.00200      0.71552      9.38872     13.12149
   1   2   1      3.50330      0.06740      2.88014      7.74565      2.68933
   2   2   1      0.28460      0.00120      0.29921      6.40691     21.41240
   1   3   1      0.10750      0.00110      0.11089      4.69299     42.32053
   2   3   1      0.23670      0.00690      0.21357      0.66398      3.10891
   0   4   1      0.05460      0.00130      0.04934      0.89206     18.08076
   1   4   1      1.60600      0.03350      1.70734      2.73236      1.60036
   2   4   1      0.18860      0.00600      0.16882      1.01502      6.01248
   1   5   1      0.34170      0.00460      0.37381      6.65130     17.79322
   2   5   1      1.08860      0.07150      0.82989      1.26323      1.52216
   0   6   1      1.47250      0.04910      1.27025      4.67032      3.67671
   1   6   1      1.83060      0.42500      1.26432      0.58950      0.46626
   1   9   1      0.10120      0.09880          nan          nan          nan
   0   0   2      0.10240      0.00140      0.06983      3.26048     46.68997
   2   0   2      0.63030      0.00720      0.62368     52.01496     83.39994
   1   1   2      3.41970      0.05080      2.71140     16.52650      6.09519
   2   1   2      1.45210      0.04810      1.45642      4.66742      3.20472
   0   2   2      0.37530      0.00910      0.42012     31.45289     74.86733
   1   2   2      1.08360      0.00710      1.14764     14.17163     12.34851
